     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.840e+16;          32.009;          51.650;          38.488;           6.051 (15.723 %)
  naif_ite;         10;      10000;       9.903e+14;           3.496;           5.215;           3.610;           0.359 ( 9.951 %)
  rapi_rec;         10;      10000;       1.642e+12;          17.105;          21.330;          18.087;           0.826 ( 4.564 %)
  rapi_ite;         10;      10000;       1.440e+19;           7.721;          11.962;           8.459;           1.020 (12.054 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.637e+12;          32.008;          41.636;          34.067;           2.572 ( 7.551 %)
  naif_ite;         10;      10000;       3.870e+25;           3.863;           4.664;           3.890;           0.139 ( 3.577 %)
  rapi_rec;         10;      10000;       5.866e+24;          16.898;          24.957;          19.534;           2.366 (12.114 %)
  rapi_ite;         10;      10000;       1.321e+15;           7.721;          11.651;           8.725;           0.962 (11.021 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.571e+13;          32.009;          45.977;          36.263;           4.258 (11.742 %)
  naif_ite;         10;      10000;       9.620e+13;           3.497;           3.512;           3.500;           0.002 ( 0.070 %)
  rapi_rec;         10;      10000;       3.745e+10;          16.931;          25.950;          18.270;           2.673 (14.632 %)
  rapi_ite;         10;      10000;       6.382e+16;           7.719;          14.675;           8.444;           1.607 (19.029 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.684e+15;          32.008;          48.938;          37.263;           5.634 (15.120 %)
  naif_ite;         10;      10000;       1.770e+26;           3.497;           5.396;           3.633;           0.409 (11.251 %)
  rapi_rec;         10;      10000;       3.869e+08;          16.843;          17.694;          17.032;           0.203 ( 1.194 %)
  rapi_ite;         10;      10000;       4.485e+12;           7.720;           8.342;           7.765;           0.127 ( 1.631 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.508e+10;          33.021;          40.521;          34.750;           2.355 ( 6.778 %)
  naif_ite;         10;      10000;       3.391e+16;           3.499;           6.896;           4.711;           0.928 (19.704 %)
  rapi_rec;         10;      10000;       1.835e+18;          17.051;          27.213;          18.709;           2.337 (12.489 %)
  rapi_ite;         10;      10000;       7.965e+18;           7.724;           9.195;           7.992;           0.358 ( 4.479 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.330e+12;          32.010;          44.678;          33.396;           2.729 ( 8.171 %)
  naif_ite;         10;      10000;       6.414e+12;           3.497;           3.512;           3.500;           0.002 ( 0.071 %)
  rapi_rec;         10;      10000;       5.108e+28;          16.844;          28.576;          19.316;           3.285 (17.007 %)
  rapi_ite;         10;      10000;       2.003e+13;           7.720;          15.419;           9.866;           2.191 (22.211 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.263e+13;          32.009;          45.875;          35.072;           3.611 (10.297 %)
  naif_ite;         10;      10000;       1.325e+22;           3.497;           3.869;           3.756;           0.171 ( 4.541 %)
  rapi_rec;         10;      10000;       7.489e+12;          16.845;          18.593;          17.124;           0.300 ( 1.752 %)
  rapi_ite;         10;      10000;       8.475e+14;           7.721;          17.672;           9.058;           2.167 (23.929 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.711e+16;          32.009;          43.500;          34.065;           2.527 ( 7.420 %)
  naif_ite;         10;      10000;       1.314e+14;           3.495;           3.509;           3.498;           0.002 ( 0.063 %)
  rapi_rec;         10;      10000;       2.622e+16;          16.914;          21.347;          17.421;           0.901 ( 5.171 %)
  rapi_ite;         10;      10000;       3.354e+11;           7.720;           8.383;           7.842;           0.188 ( 2.395 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.446e+22;          32.010;          58.956;          36.461;           5.467 (14.994 %)
  naif_ite;         10;      10000;       2.879e+16;           3.497;           3.511;           3.500;           0.003 ( 0.072 %)
  rapi_rec;         10;      10000;       4.138e+22;          16.842;          36.036;          21.524;           5.228 (24.290 %)
  rapi_ite;         10;      10000;       8.171e+13;           7.721;          11.024;           8.463;           0.862 (10.184 %)
