     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.411e+14;          30.849;          45.250;          32.491;           3.127 ( 9.625 %)
  naif_ite;         10;      10000;       1.927e+17;           4.249;           8.261;           4.972;           1.175 (23.632 %)
  rapi_rec;         10;      10000;       4.688e+19;          16.331;          20.421;          16.742;           0.822 ( 4.913 %)
  rapi_ite;         10;      10000;       3.505e+22;           7.722;          17.361;          10.730;           3.224 (30.044 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.562e+32;          30.854;          45.843;          36.124;           4.239 (11.733 %)
  naif_ite;         10;      10000;       9.412e+18;           4.249;           6.645;           4.747;           0.573 (12.068 %)
  rapi_rec;         10;      10000;       4.901e+17;          16.243;          22.524;          17.613;           1.474 ( 8.370 %)
  rapi_ite;         10;      10000;       4.431e+13;           7.722;          10.080;           8.309;           0.576 ( 6.928 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.300e+27;          30.853;          36.530;          32.577;           1.725 ( 5.296 %)
  naif_ite;         10;      10000;       2.823e+18;           4.617;          12.350;           7.155;           1.713 (23.948 %)
  rapi_rec;         10;      10000;       2.361e+13;          16.405;          25.931;          18.982;           2.689 (14.164 %)
  rapi_ite;         10;      10000;       1.007e+21;           7.718;          10.076;           7.965;           0.602 ( 7.561 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.740e+12;          30.851;          36.682;          31.623;           1.214 ( 3.840 %)
  naif_ite;         10;      10000;       1.994e+16;           4.251;           6.546;           4.843;           0.698 (14.410 %)
  rapi_rec;         10;      10000;       7.067e+15;          16.137;          26.386;          18.164;           2.400 (13.214 %)
  rapi_ite;         10;      10000;       5.490e+14;      -99991.661;          10.799;       -3021.738;       17407.806 (-576.086 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
