     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.176e+15;           5.794;          10.090;           6.457;           0.990 (15.333 %)
  naif_ite;         10;      10000;       1.945e+15;           5.022;           7.024;           5.544;           0.536 ( 9.677 %)
  rapi_rec;         10;      10000;       1.666e+14;          13.116;          17.530;          14.652;           0.763 ( 5.209 %)
  rapi_ite;         10;      10000;       1.871e+27;           6.948;           7.531;           7.098;           0.202 ( 2.851 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.505e+12;           5.792;          12.366;           7.681;           1.877 (24.440 %)
  naif_ite;         10;      10000;       4.779e+17;           5.020;          12.888;           6.914;           1.936 (28.003 %)
  rapi_rec;         10;      10000;       1.053e+14;          13.119;          23.648;          16.410;           2.229 (13.581 %)
  rapi_ite;         10;      10000;       3.662e+10;           7.333;          13.326;           9.264;           2.031 (21.924 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.438e+16;           5.847;          13.979;           8.120;           1.594 (19.633 %)
  naif_ite;         10;      10000;       2.173e+14;           5.022;           9.567;           6.242;           1.211 (19.403 %)
  rapi_rec;         10;      10000;       2.492e+20;          13.119;          21.983;          16.402;           2.132 (13.000 %)
  rapi_ite;         10;      10000;       3.691e+22;           7.333;           7.348;           7.336;           0.003 ( 0.037 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.670e+09;           5.793;          17.374;           7.315;           2.570 (35.128 %)
  naif_ite;         10;      10000;       1.689e+08;           5.021;          11.127;           6.356;           1.790 (28.169 %)
  rapi_rec;         10;      10000;       3.364e+10;          14.650;          20.872;          17.135;           1.675 ( 9.778 %)
  rapi_ite;         10;      10000;       4.506e+20;           6.951;          13.087;           8.844;           1.438 (16.255 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.455e+09;           5.792;          10.939;           6.533;           1.108 (16.956 %)
  naif_ite;         10;      10000;       2.267e+08;           5.022;          14.144;           7.186;           1.921 (26.731 %)
  rapi_rec;         10;      10000;       7.835e+13;          13.591;          15.365;          14.752;           0.446 ( 3.021 %)
  rapi_ite;         10;      10000;       2.327e+18;           7.334;           9.226;           7.683;           0.478 ( 6.218 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.679e+18;           5.792;          12.471;           7.434;           1.730 (23.273 %)
  naif_ite;         10;      10000;       1.435e+12;           5.019;           9.207;           5.412;           1.014 (18.742 %)
  rapi_rec;         10;      10000;       2.320e+10;          13.445;          15.351;          14.695;           0.511 ( 3.475 %)
  rapi_ite;         10;      10000;       1.282e+13;           7.332;          13.924;           8.211;           1.503 (18.306 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.587e+10;           5.793;           7.561;           6.119;           0.532 ( 8.702 %)
  naif_ite;         10;      10000;       6.765e+07;           5.021;           8.581;           5.885;           0.833 (14.152 %)
  rapi_rec;         10;      10000;       1.125e+14;          13.858;          21.195;          15.888;           1.792 (11.277 %)
  rapi_ite;         10;      10000;       7.590e+15;           6.951;          14.034;           8.170;           1.512 (18.511 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.021e+15;           6.025;           9.967;           7.544;           1.196 (15.853 %)
  naif_ite;         10;      10000;       7.834e+16;           5.020;          10.157;           6.487;           1.564 (24.107 %)
  rapi_rec;         10;      10000;       1.258e+15;          13.117;          15.562;          14.037;           0.805 ( 5.732 %)
  rapi_ite;         10;      10000;       1.349e+11;           7.332;          12.469;           8.594;           1.620 (18.847 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.514e+16;           5.793;           9.844;           6.558;           0.861 (13.135 %)
  naif_ite;         10;      10000;       1.916e+19;           5.023;          11.568;           6.592;           1.758 (26.670 %)
  rapi_rec;         10;      10000;       9.617e+15;          13.223;          21.313;          15.277;           1.571 (10.286 %)
  rapi_ite;         10;      10000;       4.375e+13;           7.072;          12.772;           8.545;           1.377 (16.110 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.790e+15;           5.792;           8.547;           6.427;           0.789 (12.270 %)
  naif_ite;         10;      10000;       2.642e+26;           5.020;           7.046;           5.461;           0.487 ( 8.924 %)
  rapi_rec;         10;      10000;       9.502e+22;          13.118;          21.886;          15.865;           1.910 (12.039 %)
  rapi_ite;         10;      10000;       2.489e+17;           7.333;          10.657;           7.644;           0.663 ( 8.677 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.074e+16;           5.792;           9.314;           5.937;           0.619 (10.426 %)
  naif_ite;         10;      10000;       1.023e+17;           5.020;           5.411;           5.105;           0.160 ( 3.130 %)
  rapi_rec;         10;      10000;       5.004e+20;          13.118;          21.955;          15.593;           1.797 (11.527 %)
  rapi_ite;         10;      10000;       3.878e+10;           7.334;          10.783;           8.042;           0.879 (10.926 %)
