           4.289 ( 7.749 %)	           9.752 (24.335 %)	          14.752 (32.679 %)	           3.127 ( 9.625 %)	           0.990 (15.333 %)
           6.800 (12.068 %)	           4.162 (11.566 %)	           8.022 (19.524 %)	           4.239 (11.733 %)	           1.877 (24.440 %)
           4.489 ( 8.225 %)	           4.469 (11.750 %)	           3.615 ( 9.938 %)	           1.725 ( 5.296 %)	           1.594 (19.633 %)
           6.382 (10.963 %)	           3.697 (10.129 %)	           6.262 (16.564 %)	           1.214 ( 3.840 %)	           2.570 (35.128 %)
           4.938 ( 8.787 %)	           4.041 (11.127 %)	           7.489 (19.688 %)	           6.328 (16.791 %)	           1.108 (16.956 %)
          10.620 (16.381 %)	           2.104 ( 6.112 %)	           4.129 (11.653 %)	           8.154 (18.847 %)	           1.730 (23.273 %)
           9.339 (15.908 %)	           4.166 (11.291 %)	           1.850 ( 5.413 %)	           4.920 (13.679 %)	           0.532 ( 8.702 %)
           5.778 (10.000 %)	           4.120 (10.952 %)	           5.754 (15.581 %)	           3.398 (10.193 %)	           1.196 (15.853 %)
           4.839 ( 8.642 %)	          11.124 (18.208 %)	           5.507 (14.484 %)	           2.920 ( 8.848 %)	           0.861 (13.135 %)
           5.127 ( 9.308 %)	           5.729 (12.618 %)	           4.739 (12.408 %)	           3.301 (10.122 %)	           0.789 (12.270 %)
           8.772 (11.145 %)	           4.080 (11.290 %)	           3.361 ( 9.376 %)	           1.690 ( 5.259 %)	           0.619 (10.426 %)
           6.507 (11.570 %)	           5.582 (15.188 %)	           4.458 (11.929 %)	           0.783 ( 2.489 %)	           0.706 (11.157 %)
           4.982 ( 8.872 %)	           7.876 (19.670 %)	           5.779 (15.433 %)	           3.172 ( 9.562 %)	           1.751 (19.663 %)
           7.331 (12.799 %)	           6.433 (14.494 %)	           3.353 ( 9.159 %)	           2.998 ( 8.939 %)	           1.781 (24.018 %)
           4.266 ( 7.771 %)	           6.973 (15.117 %)	           1.800 ( 5.215 %)	           2.011 ( 6.217 %)	           0.885 (13.116 %)
           8.377 (14.386 %)	           5.052 (10.470 %)	          14.379 (21.334 %)	           2.373 ( 6.988 %)	           0.819 (12.770 %)
           7.587 (13.187 %)	           4.660 (10.283 %)	           4.189 ( 8.539 %)	           2.559 ( 7.660 %)	           0.875 (12.807 %)
           4.096 ( 7.346 %)	           4.387 (10.032 %)	           8.213 (17.006 %)	           1.493 ( 4.381 %)	           2.199 (26.031 %)
           9.852 (14.055 %)	           3.916 (10.764 %)	           4.722 (12.151 %)	           1.220 ( 3.844 %)	           0.833 (13.281 %)
           3.071 ( 5.571 %)	           6.573 (14.939 %)	           4.303 (11.748 %)	           1.496 ( 4.721 %)	           2.295 (26.263 %)
           3.543 ( 6.505 %)	           4.664 (11.599 %)	           8.995 (23.794 %)	           3.159 ( 9.480 %)	           0.920 (14.169 %)
           4.878 ( 8.662 %)	           4.165 (11.392 %)	           1.148 ( 3.394 %)	           3.693 (10.970 %)	           3.579 (25.873 %)
           6.107 (10.802 %)	           7.043 (16.063 %)	           6.672 (17.447 %)	           3.826 (11.498 %)	           3.914 (28.111 %)
           4.715 ( 8.623 %)	           2.207 ( 6.489 %)	           5.387 (14.613 %)	           1.945 ( 6.158 %)	           3.767 (39.073 %)
           7.596 (13.115 %)	           3.024 ( 8.272 %)	           7.452 (19.237 %)	           3.658 (10.872 %)	           2.421 (24.129 %)
           8.898 (15.414 %)	           3.854 (10.855 %)	           5.072 (14.165 %)	           1.910 ( 6.003 %)	           2.185 (28.328 %)
           6.570 (11.431 %)	           5.201 (13.733 %)	           5.896 (14.016 %)	           5.171 (12.290 %)	           2.731 (33.500 %)
           5.356 ( 9.612 %)	           5.229 (14.218 %)	           3.882 (10.620 %)	           3.016 ( 8.931 %)	           1.294 (19.939 %)
           4.740 ( 8.514 %)	           2.771 ( 7.780 %)	           3.708 (10.415 %)	           3.125 ( 9.629 %)	           1.016 (14.857 %)
           6.616 (11.540 %)	           4.901 (12.933 %)	           4.237 (11.409 %)	           3.721 (10.951 %)	           3.256 (36.969 %)
           4.148 ( 7.545 %)	           6.145 (16.361 %)	           7.408 (17.359 %)	           2.222 ( 6.847 %)	           3.105 (36.594 %)
           5.061 ( 9.106 %)	           9.818 (24.257 %)	           5.139 (13.886 %)	           2.995 ( 8.978 %)	           1.984 (27.010 %)
           4.699 ( 8.537 %)	           6.625 (15.871 %)	           1.595 ( 4.616 %)	           5.489 (15.824 %)	           0.498 ( 7.894 %)
           5.719 (10.143 %)	           5.359 (12.656 %)	           9.516 (22.645 %)	           2.206 ( 6.761 %)	           0.604 ( 9.499 %)
           6.339 (10.394 %)	           3.310 ( 9.046 %)	           7.785 (20.454 %)	           2.261 ( 7.096 %)	           0.733 (11.643 %)
