           2.335 (10.516 %)	           2.522 (12.774 %)	           4.535 (16.173 %)	           0.822 ( 4.913 %)	           0.763 ( 5.209 %)
           3.055 (13.514 %)	           3.018 (15.436 %)	           0.728 ( 4.243 %)	           1.474 ( 8.370 %)	           2.229 (13.581 %)
           5.133 (19.420 %)	           3.662 (19.140 %)	           2.524 (13.962 %)	           2.689 (14.164 %)	           2.132 (13.000 %)
           4.103 (16.942 %)	           1.522 ( 8.676 %)	           3.432 (17.655 %)	           2.400 (13.214 %)	           1.675 ( 9.778 %)
           2.301 (10.683 %)	           0.710 ( 3.998 %)	           0.571 ( 3.275 %)	           4.556 (17.898 %)	           0.446 ( 3.021 %)
           5.933 (23.552 %)	           2.375 (12.864 %)	           2.809 (14.856 %)	           5.129 (20.917 %)	           0.511 ( 3.475 %)
           3.601 (15.313 %)	           3.524 (18.442 %)	           1.897 (10.808 %)	           0.130 ( 0.797 %)	           1.792 (11.277 %)
           0.190 ( 0.905 %)	           0.139 ( 0.836 %)	           2.454 (13.586 %)	           2.951 (15.544 %)	           0.805 ( 5.732 %)
           3.485 (14.772 %)	           4.819 (22.394 %)	           2.202 (12.794 %)	           2.831 (15.103 %)	           1.571 (10.286 %)
           9.242 (22.121 %)	           3.138 (15.558 %)	           1.785 (10.000 %)	           2.420 (13.382 %)	           1.910 (12.039 %)
           3.380 (14.623 %)	           0.468 ( 2.691 %)	           2.660 (14.304 %)	           1.109 ( 6.559 %)	           1.797 (11.527 %)
           1.188 ( 5.488 %)	           2.338 (13.356 %)	           2.702 (14.464 %)	           2.269 (12.652 %)	           1.943 (12.509 %)
           2.588 (11.741 %)	           0.498 ( 2.903 %)	           0.676 ( 3.997 %)	           0.645 ( 3.789 %)	           0.470 ( 3.233 %)
           3.738 (15.590 %)	           2.157 ( 9.452 %)	           2.755 (15.198 %)	           0.408 ( 2.401 %)	           0.908 ( 6.214 %)
           7.164 (28.389 %)	           6.431 (24.375 %)	           1.892 (10.310 %)	           1.902 (10.812 %)	           1.516 ( 9.983 %)
           2.989 (13.308 %)	           3.442 (15.066 %)	          16.399 (47.228 %)	           1.872 ( 9.712 %)	           1.179 ( 7.690 %)
           0.788 ( 3.726 %)	           0.543 ( 3.220 %)	           2.701 (13.772 %)	           2.814 (15.476 %)	           0.678 ( 4.618 %)
          16.031 (34.194 %)	           0.691 ( 3.872 %)	           2.913 (11.766 %)	           1.698 ( 9.595 %)	           2.238 (13.918 %)
           4.054 (16.851 %)	           0.670 ( 3.785 %)	           3.598 (17.393 %)	           1.847 ( 9.530 %)	           1.870 (12.337 %)
           0.906 ( 4.076 %)	           0.547 ( 3.159 %)	           0.207 ( 1.238 %)	           2.592 (14.375 %)	           0.749 ( 5.204 %)
           0.392 ( 1.866 %)	           1.164 ( 6.765 %)	           0.824 ( 4.703 %)	           1.783 (10.250 %)	           1.343 ( 8.772 %)
           5.154 (19.156 %)	           0.922 ( 5.268 %)	           1.510 ( 8.380 %)	           0.116 ( 0.709 %)	           3.146 (16.075 %)
           4.122 (17.335 %)	           2.198 (12.365 %)	           2.052 (10.897 %)	           0.492 ( 2.908 %)	           3.382 (16.287 %)
           3.954 (16.459 %)	           2.417 (12.433 %)	           0.476 ( 2.737 %)	           2.156 (11.763 %)	           1.961 (11.194 %)
           5.070 (21.879 %)	           2.255 (12.050 %)	           1.909 (10.504 %)	           2.251 (12.603 %)	           4.511 (25.747 %)
           8.135 (32.053 %)	           0.774 ( 4.451 %)	           3.713 (20.175 %)	           0.674 ( 3.947 %)	           1.471 ( 9.492 %)
           1.560 ( 7.084 %)	           0.954 ( 5.461 %)	           1.821 ( 9.930 %)	           2.731 (11.995 %)	           0.495 ( 3.287 %)
           3.909 (16.694 %)	           0.424 ( 2.459 %)	           2.893 (15.499 %)	           2.827 (15.131 %)	           0.979 ( 6.833 %)
           4.482 (18.819 %)	           1.195 ( 6.764 %)	           4.736 (24.929 %)	           0.609 ( 3.690 %)	           2.179 (13.494 %)
           3.947 (16.539 %)	           2.460 (13.177 %)	           0.570 ( 3.295 %)	           1.724 ( 9.952 %)	           2.587 (16.347 %)
           1.225 ( 5.456 %)	           2.812 (15.187 %)	           3.357 (17.092 %)	           2.206 (12.059 %)	           1.127 ( 7.578 %)
           2.031 ( 9.039 %)	           0.243 ( 1.425 %)	           0.969 ( 5.704 %)	           1.277 ( 7.381 %)	           1.450 ( 9.598 %)
           4.892 (20.563 %)	           0.421 ( 2.472 %)	           3.117 (16.670 %)	           1.062 ( 6.206 %)	           0.627 ( 4.284 %)
           3.791 (16.070 %)	           1.223 ( 6.987 %)	           2.962 (16.159 %)	           2.472 (13.931 %)	           0.849 ( 6.268 %)
           6.019 (19.748 %)	           1.852 (10.229 %)	           1.122 ( 6.333 %)	           2.891 (14.614 %)	           1.905 (10.869 %)
           5.052 (18.318 %)	           2.559 (13.167 %)	           0.912 ( 5.169 %)	           1.342 ( 7.338 %)	           2.210 (14.179 %)
           8.843 (26.551 %)	           2.171 (11.995 %)	           1.087 ( 6.172 %)	           0.720 ( 4.376 %)	           3.369 (19.505 %)
          10.154 (27.755 %)	           0.258 ( 1.545 %)	           4.536 (23.154 %)	           2.591 (13.828 %)	           0.603 ( 4.126 %)
           8.941 (24.345 %)	           0.949 ( 5.496 %)	           0.913 ( 5.326 %)	           0.575 ( 3.488 %)	           1.430 ( 9.919 %)
           5.684 (21.850 %)	           0.766 ( 4.457 %)	           0.759 ( 4.363 %)	           0.370 ( 2.198 %)	           1.919 (11.965 %)
           3.744 (12.283 %)	           3.202 (14.739 %)	           0.977 ( 5.637 %)	           4.832 (22.432 %)	           3.666 (18.974 %)
           4.995 (19.882 %)	           2.971 (15.101 %)	           2.277 (12.233 %)	           2.444 (13.328 %)	           0.206 ( 1.408 %)
           3.831 (15.577 %)	           2.279 (12.391 %)	           6.147 (22.630 %)	           1.790 (10.344 %)	           0.603 ( 4.322 %)
           4.145 (17.045 %)	           1.360 ( 7.783 %)	           3.580 (18.881 %)	           1.192 ( 6.964 %)	           1.203 ( 8.795 %)
           4.150 (17.481 %)	           1.506 ( 8.531 %)	           2.955 (15.697 %)	           4.276 (17.090 %)	           2.108 (11.609 %)
           6.685 (22.532 %)	           3.280 (16.281 %)	           2.974 (15.868 %)	           3.967 (17.526 %)	           2.225 (13.038 %)
           6.709 (23.868 %)	           3.298 (16.556 %)	           0.840 ( 4.824 %)	           2.169 (11.809 %)	           1.984 (12.595 %)
           5.921 (21.876 %)	           2.904 (15.747 %)	           2.599 (13.928 %)	           0.101 ( 0.615 %)	           0.648 ( 4.844 %)
          15.232 (42.477 %)	           0.481 ( 2.779 %)	           0.212 ( 1.264 %)	           0.635 ( 3.849 %)	           0.393 ( 2.667 %)
           6.397 (18.836 %)	           1.040 ( 5.927 %)	           1.129 ( 6.622 %)	           4.385 (17.907 %)	           0.815 ( 5.591 %)
           0.345 ( 1.645 %)	           0.983 ( 5.662 %)	           3.758 (19.606 %)	           5.645 (21.518 %)	           0.628 ( 4.325 %)
           4.938 (20.987 %)	           0.597 ( 3.525 %)	           2.821 (15.128 %)	           2.609 (13.422 %)	           1.266 ( 8.046 %)
           5.984 (22.989 %)	           2.112 (11.116 %)	           2.206 (12.787 %)	           2.768 (14.130 %)	           1.910 (11.529 %)
           5.454 (20.874 %)	           2.764 (14.375 %)	           1.038 ( 6.002 %)	           0.842 ( 5.000 %)	           1.769 (10.592 %)
       17407.849 (-578.693 %)	           2.101 (11.533 %)	           0.579 ( 3.342 %)	           2.230 (12.528 %)	           0.917 ( 6.246 %)
           3.829 (17.131 %)	           1.066 ( 6.183 %)	           2.837 (14.208 %)	           4.033 (19.571 %)	           0.870 ( 5.923 %)
           1.302 ( 5.851 %)	           1.061 ( 6.073 %)	           0.225 ( 1.348 %)	           0.317 ( 1.877 %)	           1.419 ( 9.061 %)
           3.921 (17.200 %)	           1.831 (10.320 %)	           1.927 (10.951 %)	           1.315 ( 7.472 %)	           0.611 ( 4.333 %)
           1.677 ( 7.699 %)	           2.206 (12.184 %)	           2.825 (15.099 %)	           1.355 ( 8.091 %)	           0.304 ( 2.065 %)
           4.521 (19.653 %)	           0.208 ( 1.245 %)	           2.299 (12.239 %)	           1.725 (10.119 %)	           2.719 (16.076 %)
           4.527 (18.950 %)	           0.204 ( 1.200 %)	           1.168 ( 6.867 %)	           1.189 ( 7.130 %)	           2.161 (13.397 %)
           0.107 ( 0.510 %)	           0.255 ( 1.519 %)	           0.910 ( 5.205 %)	           4.106 (22.603 %)	           1.715 (11.182 %)
          11.101 (26.146 %)	           2.258 (11.286 %)	           0.683 ( 3.878 %)	           0.227 ( 1.385 %)	           0.549 ( 3.692 %)
           7.511 (29.013 %)	           2.802 (14.040 %)	           2.788 (14.751 %)	           1.771 ( 9.934 %)	           2.598 (16.940 %)
           6.197 (24.567 %)	           0.570 ( 3.267 %)	           0.537 ( 3.085 %)	           1.536 ( 8.887 %)	           0.466 ( 3.213 %)
           8.525 (28.931 %)	           0.229 ( 1.358 %)	           4.395 (17.205 %)	           0.555 ( 3.264 %)	           0.781 ( 5.449 %)
           1.360 ( 6.258 %)	           0.799 ( 4.526 %)	           3.858 (13.820 %)	           1.308 ( 7.586 %)	           0.734 ( 4.985 %)
           0.384 ( 1.827 %)	           3.020 (16.018 %)	           2.940 (15.971 %)	           4.171 (21.874 %)	           1.179 ( 7.932 %)
           4.447 (19.263 %)	           3.253 (16.248 %)	           0.755 ( 4.382 %)	           0.572 ( 3.357 %)	           0.836 ( 5.656 %)
           5.742 (23.380 %)	           2.725 (15.140 %)	           0.837 ( 4.782 %)	           1.438 ( 8.433 %)	           0.865 ( 6.183 %)
           7.361 (29.666 %)	           0.967 ( 5.461 %)	           4.832 (24.101 %)	           2.314 (13.072 %)	           0.909 ( 6.195 %)
           4.082 (16.954 %)	           0.485 ( 2.797 %)	           0.524 ( 3.135 %)	           0.521 ( 3.071 %)	           1.195 ( 7.978 %)
           4.774 (20.503 %)	           1.886 (10.596 %)	           0.432 ( 2.582 %)	           0.235 ( 1.441 %)	           0.876 ( 5.973 %)
           1.604 ( 7.097 %)	           2.129 (11.719 %)	           0.989 ( 5.623 %)	           5.006 (26.147 %)	           3.848 (21.828 %)
           1.559 ( 6.712 %)	           0.425 ( 2.473 %)	           3.365 (17.797 %)	           0.153 ( 0.939 %)	           2.299 (14.418 %)
           1.580 ( 7.279 %)	           0.254 ( 1.510 %)	           0.202 ( 1.209 %)	           0.671 ( 3.977 %)	           3.008 (18.134 %)
           2.163 ( 9.881 %)	           0.188 ( 1.118 %)	           0.162 ( 0.964 %)	           2.325 (12.762 %)	           1.870 (12.310 %)
           6.324 (27.501 %)	           1.659 ( 9.701 %)	           0.513 ( 2.944 %)	           0.171 ( 1.040 %)	           0.835 ( 5.590 %)
           4.829 (19.995 %)	           1.765 ( 9.580 %)	           4.022 (20.530 %)	           0.357 ( 2.169 %)	           1.634 (10.559 %)
           9.663 (35.884 %)	           2.417 (12.440 %)	           3.757 (20.267 %)	           4.068 (20.975 %)	           0.626 ( 4.301 %)
           1.701 ( 7.865 %)	           2.698 (14.716 %)	           0.555 ( 3.186 %)	           0.311 ( 1.901 %)	           1.272 ( 8.416 %)
           3.855 (16.101 %)	           0.247 ( 1.477 %)	           2.317 (12.765 %)	           0.728 ( 4.269 %)	           1.071 ( 7.184 %)
           4.273 (18.370 %)	           0.425 ( 2.525 %)	           2.416 (13.584 %)	           1.709 ( 9.552 %)	           2.665 (15.554 %)
           4.019 (16.519 %)	           4.055 (19.496 %)	           2.523 (13.766 %)	           0.403 ( 2.387 %)	           1.697 (11.230 %)
           3.528 (15.073 %)	           2.981 (13.628 %)	           0.585 ( 3.446 %)	           0.417 ( 2.535 %)	           2.134 (13.380 %)
           3.876 (15.833 %)	           1.720 ( 9.615 %)	           0.723 ( 4.214 %)	           4.143 (21.827 %)	           1.150 ( 8.038 %)
           0.468 ( 2.225 %)	           1.100 ( 6.320 %)	           5.959 (23.055 %)	           0.072 ( 0.443 %)	           0.919 ( 6.245 %)
           3.164 (13.864 %)	           2.699 ( 9.358 %)	           4.605 (16.510 %)	           0.727 ( 4.354 %)	           0.950 ( 6.414 %)
           2.243 (10.295 %)	           1.464 ( 8.280 %)	           0.752 ( 4.465 %)	           0.749 ( 4.374 %)	           4.681 (24.988 %)
           5.155 (21.906 %)	           4.632 (22.541 %)	           2.772 (14.643 %)	           3.453 (18.767 %)	          16.207 (63.614 %)
           2.432 (11.226 %)	           0.804 ( 4.603 %)	           2.586 (13.619 %)	           0.439 ( 2.566 %)	           2.018 (12.943 %)
           4.394 (18.946 %)	           0.306 ( 1.831 %)	           2.690 (14.610 %)	           0.332 ( 1.967 %)	           1.323 ( 8.912 %)
           3.740 (15.699 %)	           0.693 ( 3.996 %)	           3.138 (16.955 %)	           3.685 (19.545 %)	           2.172 (13.736 %)
           3.774 (16.303 %)	           0.920 ( 5.224 %)	           2.221 (12.399 %)	           0.779 ( 4.700 %)	           0.616 ( 4.312 %)
           0.107 ( 0.512 %)	           2.352 (12.765 %)	           1.757 ( 9.689 %)	           0.511 ( 3.065 %)	           1.971 (12.391 %)
           4.746 (19.909 %)	           2.390 (12.932 %)	           0.910 ( 5.149 %)	           2.494 (13.849 %)	           2.614 (15.393 %)
           1.823 ( 8.191 %)	           0.607 ( 3.566 %)	           0.259 ( 1.557 %)	           4.612 (17.700 %)	           1.249 ( 8.546 %)
