     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.435e+13;          32.008;          50.035;          37.399;           4.966 (13.278 %)
  naif_ite;         10;      10000;       2.092e+13;           6.564;           9.536;           7.092;           0.850 (11.982 %)
  rapi_rec;         10;      10000;       3.212e+31;          16.844;          27.342;          19.639;           3.044 (15.502 %)
  rapi_ite;         10;      10000;       6.144e+24;           7.720;          10.987;           8.497;           0.993 (11.691 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.963e+23;      -99966.381;          42.704;       -2993.983;       17408.251 (-581.441 %)
  naif_ite;         10;      10000;       1.800e+19;           6.563;           9.095;           7.286;           0.681 ( 9.349 %)
  rapi_rec;         10;      10000;       2.139e+15;          17.202;          24.632;          19.185;           1.722 ( 8.973 %)
  rapi_ite;         10;      10000;       9.236e+12;           7.721;          16.719;          10.752;           2.919 (27.150 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.123e+11;          32.569;          47.571;          35.087;           3.631 (10.349 %)
  naif_ite;         10;      10000;       7.882e+22;           6.566;          10.096;           7.739;           0.865 (11.176 %)
  rapi_rec;         10;      10000;       1.635e+17;          17.092;          22.406;          18.592;           1.191 ( 6.408 %)
  rapi_ite;         10;      10000;       2.579e+15;           7.723;          15.946;           9.726;           2.026 (20.827 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.937e+21;          32.908;          49.170;          34.971;           3.410 ( 9.750 %)
  naif_ite;         10;      10000;       5.805e+34;           6.564;           8.286;           7.138;           0.604 ( 8.467 %)
  rapi_rec;         10;      10000;       6.426e+13;          17.052;          23.574;          17.893;           1.108 ( 6.194 %)
  rapi_ite;         10;      10000;       1.299e+22;           7.722;          11.805;           8.473;           0.943 (11.125 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.474e+12;          32.898;          44.478;          35.151;           2.850 ( 8.109 %)
  naif_ite;         10;      10000;       3.734e+20;           6.564;           7.606;           6.613;           0.198 ( 2.988 %)
  rapi_rec;         10;      10000;       1.263e+14;          16.846;          23.300;          17.909;           1.512 ( 8.442 %)
  rapi_ite;         10;      10000;       4.397e+14;           7.720;          12.994;           8.281;           1.018 (12.292 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.596e+15;          32.060;          37.670;          33.556;           1.132 ( 3.373 %)
  naif_ite;         10;      10000;       8.059e+22;           6.565;          13.928;           8.335;           1.861 (22.329 %)
  rapi_rec;         10;      10000;       9.696e+12;          16.910;          25.500;          18.129;           2.070 (11.416 %)
  rapi_ite;         10;      10000;       3.200e+11;           7.723;          15.696;          12.183;           2.599 (21.331 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.476e+13;          32.720;          45.443;          36.345;           3.790 (10.427 %)
