     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   290220699.654;          30.848;          34.447;          32.015;           1.367 ( 4.270 %);    238.310
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         778.490;           3.495;           3.506;           3.497;           0.002 ( 0.057 %);   2181.725
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000; 114210510274149.203;          11.570;          11.751;          11.578;           0.031 ( 0.267 %);    658.939
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;      543078.272;           6.947;           6.985;           6.950;           0.007 ( 0.104 %);   1097.694
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   290061320.927;          30.848;          34.398;          30.970;           0.618 ( 1.996 %);    246.346
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          79.705;           3.862;           3.872;           3.864;           0.002 ( 0.045 %);   1974.498
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           9.929;          11.571;          11.579;          11.573;           0.002 ( 0.016 %);    659.254
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          24.701;           6.945;           7.719;           7.184;           0.356 ( 4.952 %);   1061.960
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   289902038.473;          30.847;          34.166;          30.961;           0.579 ( 1.868 %);    246.416
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          12.472;           3.495;           3.513;           3.498;           0.003 ( 0.083 %);   2181.255
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         391.254;          11.571;          11.580;          11.573;           0.002 ( 0.016 %);    659.249
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;    22115882.377;           6.949;           7.730;           7.601;           0.270 ( 3.553 %);   1003.714
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   289742852.227;          30.848;          35.908;          31.112;           1.060 ( 3.407 %);    245.222
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           2.610;           3.496;           3.507;           3.498;           0.002 ( 0.055 %);   2181.092
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;      138468.060;          11.571;          11.577;          11.573;           0.002 ( 0.014 %);    659.256
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          82.835;           6.948;           6.986;           6.951;           0.007 ( 0.102 %);   1097.641
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   289583762.127;          30.848;          33.250;          30.952;           0.424 ( 1.369 %);    246.492
  naif_ite;           0.016;           0.000;           0.000;         10;      10000; 94265587280924.516;           3.494;           5.734;           3.569;           0.389 (10.897 %);   2137.481
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000; 1249363889483.630;          11.571;          11.580;          11.573;           0.002 ( 0.015 %);    659.255
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;  8530505613.919;           6.947;           6.956;           6.949;           0.002 ( 0.022 %);   1097.964
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   289424768.109;          30.849;          33.195;          30.937;           0.410 ( 1.324 %);    246.611
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;    45208963.960;           3.496;           3.509;           3.499;           0.002 ( 0.070 %);   2180.639
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           7.518;          11.570;          11.579;          11.573;           0.002 ( 0.015 %);    659.253
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         328.219;           6.945;           9.969;           7.050;           0.528 ( 7.493 %);   1082.179
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   289265870.109;          30.847;          32.695;          30.916;           0.324 ( 1.049 %);    246.776
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;      152694.775;           3.495;           3.507;           3.497;           0.002 ( 0.060 %);   2181.601
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         262.471;          11.571;          11.578;          11.573;           0.002 ( 0.014 %);    659.253
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000; 171730528939116928.000;           6.948;           7.041;           6.953;           0.017 ( 0.249 %);   1097.229
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   289107068.066;          30.848;          34.431;          30.987;           0.626 ( 2.020 %);    246.215
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;        4154.363;           3.496;           3.511;           3.499;           0.003 ( 0.073 %);   2180.679
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;       68288.707;          11.571;          11.579;          11.573;           0.002 ( 0.015 %);    659.260
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;        1621.023;           6.946;           7.717;           7.160;           0.345 ( 4.825 %);   1065.545
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   288948361.914;          30.848;          37.603;          31.316;           1.504 ( 4.802 %);    243.630
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         295.338;           3.495;           3.507;           3.497;           0.002 ( 0.064 %);   2181.714
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000; 56312376676.403;          11.570;          11.580;          11.573;           0.002 ( 0.017 %);    659.241
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           1.933;           6.949;           7.717;           7.557;           0.310 ( 4.105 %);   1009.610
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   288789751.592;          30.848;          33.998;          30.993;           0.585 ( 1.888 %);    246.165
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          36.567;           3.495;           3.508;           3.497;           0.002 ( 0.067 %);   2181.916
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           5.736;          11.570;          11.582;          11.573;           0.002 ( 0.019 %);    659.246
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;       10855.470;           6.945;           7.712;           6.971;           0.133 ( 1.910 %);   1094.430
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   288631237.035;          30.848;          33.714;          30.972;           0.513 ( 1.656 %);    246.332
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           6.502;           3.497;           3.508;           3.499;           0.002 ( 0.060 %);   2180.429
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         178.797;          11.571;          11.580;          11.573;           0.002 ( 0.016 %);    659.256
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           4.875;           6.947;           7.711;           6.974;           0.133 ( 1.900 %);   1093.911
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   288472818.182;          30.848;          33.974;          30.956;           0.545 ( 1.762 %);    246.455
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           1.491;           3.495;           3.506;           3.497;           0.002 ( 0.056 %);   2181.576
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;       35287.791;          11.571;          11.577;          11.573;           0.002 ( 0.014 %);    659.239
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;      113847.912;           6.948;           6.958;           6.949;           0.002 ( 0.027 %);   1097.881
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   288314494.969;          30.847;          33.272;          30.954;           0.435 ( 1.406 %);    246.478
  naif_ite;           0.016;           0.000;           0.000;         10;      10000; 22165967213.461;           3.495;           3.508;           3.497;           0.002 ( 0.066 %);   2181.395
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;  5302759745.254;          11.186;          11.579;          11.561;           0.067 ( 0.582 %);    659.921
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          13.507;           6.947;           7.720;           7.600;           0.276 ( 3.638 %);   1003.896
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   288156267.332;          30.849;          33.870;          30.979;           0.539 ( 1.739 %);    246.275
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;     3160231.593;           3.495;           3.508;           3.497;           0.002 ( 0.068 %);   2181.769
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           4.407;          11.572;          11.581;          11.574;           0.002 ( 0.016 %);    659.176
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;     2472053.556;           6.948;           7.715;           6.974;           0.133 ( 1.912 %);   1094.001
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   287998135.210;          30.848;          33.239;          30.936;           0.419 ( 1.353 %);    246.620
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;       31083.342;           3.495;           3.508;           3.497;           0.003 ( 0.072 %);   2181.882
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;         123.539;          11.571;          11.578;          11.573;           0.002 ( 0.015 %);    659.250
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          42.021;           6.945;           6.957;           6.947;           0.002 ( 0.032 %);   1098.225
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   287840098.538;          30.849;          34.500;          30.973;           0.636 ( 2.053 %);    246.325
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;        1333.668;           3.496;           3.509;           3.498;           0.002 ( 0.063 %);   2180.994
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;       18996.042;          11.571;          11.582;          11.573;           0.002 ( 0.019 %);    659.222
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;   215831549.272;           6.947;           7.034;           6.952;           0.015 ( 0.218 %);   1097.514
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   287682157.255;          30.848;          33.991;          31.047;           0.727 ( 2.342 %);    245.736
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         122.068;           3.495;           3.511;           3.498;           0.003 ( 0.077 %);   2181.311
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;   785416011.804;          11.571;          11.593;          11.574;           0.004 ( 0.038 %);    659.197
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         151.199;           6.948;           7.716;           6.987;           0.148 ( 2.119 %);   1091.999
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   287524311.298;          30.848;          33.275;          30.935;           0.425 ( 1.373 %);    246.627
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          17.749;           3.496;           3.503;           3.498;           0.002 ( 0.044 %);   2181.124
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           3.409;          11.570;          11.579;          11.573;           0.002 ( 0.016 %);    659.254
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000; 860107141672.184;           6.948;           7.038;           6.952;           0.016 ( 0.227 %);   1097.364
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   287366560.603;          30.849;          43.689;          32.378;           3.623 (11.190 %);    235.635
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           3.527;           3.498;           7.141;           4.081;           0.854 (20.919 %);   1869.401
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          86.491;          11.571;          14.605;          11.831;           0.824 ( 6.963 %);    644.886
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         656.814;           6.946;           8.386;           7.026;           0.274 ( 3.907 %);   1085.844
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   287208905.108;          30.849;          32.708;          30.921;           0.326 ( 1.055 %);    246.735
  naif_ite;           0.016;           0.000;           0.000;         10;      10000; 6650727115697455104.000;           3.494;           3.507;           3.497;           0.002 ( 0.062 %);   2181.933
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;       10602.097;          11.571;          11.581;          11.573;           0.002 ( 0.018 %);    659.251
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           1.207;           6.945;           7.715;           6.993;           0.182 ( 2.603 %);   1090.996
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   287051344.750;          30.848;          35.264;          30.995;           0.769 ( 2.480 %);    246.151
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;   249334262.591;           3.497;           3.507;           3.499;           0.002 ( 0.053 %);   2180.233
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;   158117467.756;          11.570;          11.581;          11.573;           0.002 ( 0.017 %);    659.255
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;        3676.479;           6.946;           7.719;           7.158;           0.346 ( 4.840 %);   1065.810
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   286893879.467;          30.848;          34.157;          30.962;           0.577 ( 1.863 %);    246.411
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;      387202.053;           3.495;           3.507;           3.497;           0.002 ( 0.064 %);   2181.489
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           2.654;          11.572;          11.739;          11.579;           0.029 ( 0.248 %);    658.889
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           2.911;           6.946;           6.981;           6.949;           0.006 ( 0.088 %);   1097.960
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   286736509.196;          30.849;          33.277;          30.957;           0.435 ( 1.406 %);    246.452
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;        7876.051;           3.495;           3.509;           3.498;           0.002 ( 0.068 %);   2181.272
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          61.301;          11.570;          17.186;          11.744;           0.977 ( 8.319 %);    649.665
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;       29486.003;           6.947;           6.971;           6.955;           0.010 ( 0.138 %);   1096.955
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   286579233.875;          30.848;          34.911;          30.985;           0.708 ( 2.284 %);    246.233
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         480.819;           3.495;           3.507;           3.498;           0.002 ( 0.061 %);   2180.966
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;        6110.550;          11.571;          11.579;          11.573;           0.002 ( 0.014 %);    659.259
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           7.644;           6.946;           7.720;           7.032;           0.231 ( 3.285 %);   1085.019
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   286422053.441;          30.848;          34.005;          30.957;           0.551 ( 1.779 %);    246.448
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          54.207;           3.496;           3.513;           3.498;           0.003 ( 0.080 %);   2180.877
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;    39735452.927;          11.571;          11.581;          11.573;           0.002 ( 0.017 %);    659.255
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;      410128.858;           6.948;           7.716;           7.511;           0.337 ( 4.484 %);   1015.698
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   286264967.831;          30.847;          39.474;          31.121;           1.500 ( 4.821 %);    245.155
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           9.045;           3.862;           4.425;           3.881;           0.098 ( 2.516 %);   1965.702
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           2.079;          11.571;          11.580;          11.573;           0.002 ( 0.017 %);    659.249
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          22.256;           6.945;           7.724;           6.970;           0.135 ( 1.942 %);   1094.608
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   286107976.984;          30.847;          33.839;          30.950;           0.521 ( 1.684 %);    246.507
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           1.982;           3.496;           3.507;           3.499;           0.002 ( 0.056 %);   2180.433
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          43.949;          11.571;          11.577;          11.573;           0.002 ( 0.014 %);    659.257
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;    14761751.887;           6.946;           7.720;           7.322;           0.391 ( 5.335 %);   1042.011
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   285951080.836;          30.848;          33.759;          30.957;           0.508 ( 1.642 %);    246.448
  naif_ite;           0.016;           0.000;           0.000;         10;      10000; 696922011504.245;           3.495;           3.510;           3.498;           0.002 ( 0.070 %);   2181.141
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;        3624.681;          11.572;          11.582;          11.574;           0.002 ( 0.017 %);    659.176
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          73.648;           6.960;           7.715;           7.647;           0.212 ( 2.777 %);    997.751
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   285794279.326;          30.849;          33.799;          30.951;           0.514 ( 1.662 %);    246.503
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;    11385827.451;           3.495;           3.506;           3.497;           0.002 ( 0.054 %);   2181.442
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;    11810048.578;          11.571;          11.579;          11.573;           0.002 ( 0.016 %);    659.256
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;  4145392790.852;           6.946;           7.728;           6.995;           0.188 ( 2.682 %);   1090.692
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   285637572.391;          30.848;          34.069;          30.980;           0.569 ( 1.838 %);    246.271
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;       68353.761;           3.497;           3.508;           3.499;           0.002 ( 0.051 %);   2180.473
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           1.638;          11.571;          11.579;          11.573;           0.002 ( 0.015 %);    659.258
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;         286.829;           6.949;           7.715;           7.555;           0.309 ( 4.095 %);   1009.870
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   285480959.970;          30.848;          38.462;          31.093;           1.324 ( 4.258 %);    245.372
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;        2355.851;           3.495;           3.506;           3.498;           0.002 ( 0.052 %);   2180.867
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          31.847;          11.571;          12.289;          11.595;           0.125 ( 1.075 %);    657.987
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000; 5843072439328398.000;           6.946;           7.718;           6.973;           0.134 ( 1.921 %);   1094.185
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   285324441.999;          30.847;          35.533;          31.005;           0.816 ( 2.631 %);    246.069
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;         190.529;           3.497;           3.507;           3.498;           0.002 ( 0.055 %);   2181.117
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;        2206.577;          11.571;          11.577;          11.573;           0.002 ( 0.014 %);    659.241
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;        1384.170;           6.946;           7.716;           6.971;           0.134 ( 1.919 %);   1094.444
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   285168018.417;          30.848;          33.851;          30.975;           0.535 ( 1.728 %);    246.308
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          25.585;           3.863;           3.875;           3.865;           0.002 ( 0.053 %);   1974.133
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;     4003086.502;          11.571;          11.578;          11.573;           0.002 ( 0.015 %);    659.254
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           1.783;           6.945;           6.957;           6.947;           0.002 ( 0.029 %);   1098.258
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   285011689.161;          30.848;          33.858;          30.953;           0.525 ( 1.697 %);    246.485
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           4.810;           3.494;           3.506;           3.497;           0.002 ( 0.060 %);   2181.722
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           1.298;          11.571;          11.582;          11.573;           0.002 ( 0.019 %);    659.255
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;        8970.510;           6.945;           7.037;           6.950;           0.016 ( 0.232 %);   1097.734
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   284855454.170;          30.847;          34.053;          30.958;           0.559 ( 1.805 %);    246.445
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           1.149;           3.864;           3.874;           3.865;           0.002 ( 0.053 %);   1973.757
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          23.311;          11.571;          11.581;          11.573;           0.002 ( 0.017 %);    659.251
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           4.461;           6.946;           6.962;           6.948;           0.003 ( 0.043 %);   1098.009
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   284699313.382;          30.848;          33.051;          30.938;           0.388 ( 1.255 %);    246.601
