     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.093e+20;           6.265;          14.521;           9.195;           2.066 (22.470 %)
  naif_ite;         10;      10000;       9.095e+12;           5.410;           7.311;           6.290;           0.522 ( 8.296 %)
  rapi_rec;         10;      10000;       8.872e+25;          14.974;          22.035;          16.094;           1.606 ( 9.979 %)
  rapi_ite;         10;      10000;       5.213e+17;           7.336;           8.463;           7.683;           0.357 ( 4.648 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.179e+10;           6.177;           6.961;           6.332;           0.238 ( 3.760 %)
  naif_ite;         10;      10000;       5.247e+20;           5.409;           9.945;           6.220;           1.058 (17.012 %)
  rapi_rec;         10;      10000;       1.235e+21;          13.537;          15.210;          14.244;           0.488 ( 3.428 %)
  rapi_ite;         10;      10000;       8.697e+11;           7.333;          10.668;           7.998;           0.911 (11.388 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.834e+17;           6.176;           6.412;           6.187;           0.041 ( 0.658 %)
  naif_ite;         10;      10000;       3.609e+12;           5.795;          14.014;           8.082;           2.363 (29.237 %)
  rapi_rec;         10;      10000;       1.779e+09;          14.169;          19.979;          15.513;           0.960 ( 6.191 %)
  rapi_ite;         10;      10000;       1.427e+13;           7.334;          14.207;           8.924;           1.844 (20.666 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.154e+22;           6.178;          10.095;           6.875;           0.952 (13.840 %)
  naif_ite;         10;      10000;       7.490e+22;           5.408;           7.891;           6.388;           0.728 (11.398 %)
  rapi_rec;         10;      10000;       2.062e+09;          13.555;          23.758;          16.099;           1.975 (12.266 %)
  rapi_ite;         10;      10000;       1.565e+11;           7.336;          13.481;           8.821;           1.758 (19.932 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.514e+17;           6.178;           8.078;           6.665;           0.497 ( 7.453 %)
  naif_ite;         10;      10000;       1.666e+15;           5.408;          14.273;           6.696;           1.702 (25.413 %)
  rapi_rec;         10;      10000;       3.308e+15;          13.505;          23.606;          15.769;           1.867 (11.841 %)
  rapi_ite;         10;      10000;       1.209e+14;           7.334;           9.451;           7.669;           0.513 ( 6.691 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.523e+14;           6.177;           8.810;           6.711;           0.600 ( 8.943 %)
  naif_ite;         10;      10000;       1.290e+26;           5.407;          13.740;           7.303;           2.394 (32.778 %)
  rapi_rec;         10;      10000;       3.232e+16;          13.534;          20.659;          14.752;           2.124 (14.396 %)
  rapi_ite;         10;      10000;       1.112e+20;           7.332;          14.027;           8.683;           1.705 (19.631 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.040e+11;           6.176;          13.126;           8.607;           2.454 (28.510 %)
  naif_ite;         10;      10000;       2.162e+23;           5.413;          10.364;           6.783;           1.165 (17.174 %)
  rapi_rec;         10;      10000;       9.597e+14;          14.711;          17.202;          15.476;           0.519 ( 3.353 %)
  rapi_ite;         10;      10000;       8.207e+13;           7.336;          10.541;           7.785;           0.632 ( 8.118 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.378e+19;           6.176;           8.421;           6.660;           0.552 ( 8.293 %)
  naif_ite;         10;      10000;       2.727e+23;           5.407;           9.984;           6.256;           1.010 (16.144 %)
  rapi_rec;         10;      10000;       1.321e+19;          13.564;          18.215;          14.986;           1.311 ( 8.746 %)
  rapi_ite;         10;      10000;       9.599e+22;           7.335;           8.796;           7.680;           0.439 ( 5.719 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.774e+12;           6.178;           7.477;           6.350;           0.346 ( 5.455 %)
  naif_ite;         10;      10000;       6.647e+18;           5.407;          10.122;           6.298;           1.260 (19.999 %)
  rapi_rec;         10;      10000;       8.568e+13;          14.844;          19.386;          15.408;           0.747 ( 4.850 %)
  rapi_ite;         10;      10000;       3.683e+11;           6.950;           8.937;           7.691;           0.538 ( 6.989 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.364e+19;           6.178;          12.145;           7.952;           1.891 (23.776 %)
  naif_ite;         10;      10000;       4.208e+17;           5.409;          10.204;           6.322;           0.980 (15.498 %)
  rapi_rec;         10;      10000;       1.181e+21;          15.047;          15.979;          15.323;           0.224 ( 1.463 %)
  rapi_ite;         10;      10000;       2.266e+10;           7.336;          14.820;           9.355;           2.093 (22.373 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.292e+10;           6.177;          11.892;           7.560;           1.219 (16.120 %)
  naif_ite;         10;      10000;       7.668e+11;           5.407;          11.171;           7.093;           1.227 (17.292 %)
  rapi_rec;         10;      10000;       5.276e+14;          15.046;          20.151;          16.854;           1.524 ( 9.045 %)
  rapi_ite;         10;      10000;       2.051e+15;           7.336;          16.081;           8.625;           1.922 (22.282 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.988e+19;           6.177;           8.077;           6.306;           0.425 ( 6.744 %)
  naif_ite;         10;      10000;       1.863e+19;           5.406;          14.542;           7.747;           2.431 (31.380 %)
  rapi_rec;         10;      10000;       3.461e+17;          13.503;          16.698;          15.224;           0.699 ( 4.594 %)
