  naif_ite;         10;      10000;       1.021e+08;           4.631;           4.645;           4.633;           0.003 ( 0.058 %)
  naif_ite;         10;      10000;       1.032e+31;           4.631;           4.646;           4.633;           0.003 ( 0.057 %)
  naif_ite;         10;      10000;       1.126e+17;           4.631;           4.639;           4.633;           0.002 ( 0.040 %)
  naif_ite;         10;      10000;       1.133e+13;           4.631;           4.648;           4.633;           0.003 ( 0.065 %)
  naif_ite;         10;      10000;       1.162e+19;           4.631;           4.646;           4.633;           0.003 ( 0.057 %)
  naif_ite;         10;      10000;       1.170e+20;           4.631;           4.642;           4.633;           0.002 ( 0.046 %)
  naif_ite;         10;      10000;       1.263e+23;           4.631;           4.642;           4.633;           0.002 ( 0.046 %)
  naif_ite;         10;      10000;       1.295e+15;           4.631;           4.646;           4.633;           0.003 ( 0.057 %)
  naif_ite;         10;      10000;       1.307e+29;           4.631;           4.641;           4.633;           0.002 ( 0.044 %)
  naif_ite;         10;      10000;       1.329e+12;           4.631;           4.645;           4.633;           0.003 ( 0.056 %)
  naif_ite;         10;      10000;       1.450e+13;           4.631;           4.642;           4.633;           0.002 ( 0.046 %)
  naif_ite;         10;      10000;       1.536e+13;           4.631;           4.641;           4.633;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       1.589e+13;           4.631;           4.644;           4.633;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       1.651e+09;           4.631;           4.643;           4.633;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       1.766e+12;           4.631;           4.647;           4.633;           0.003 ( 0.061 %)
  naif_ite;         10;      10000;       1.985e+08;           4.631;           4.644;           4.633;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       2.340e+20;           4.631;           4.647;           4.633;           0.003 ( 0.063 %)
  naif_ite;         10;      10000;       2.370e+12;           4.631;           4.644;           4.633;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       2.372e+16;           4.631;           4.646;           4.633;           0.003 ( 0.060 %)
  naif_ite;         10;      10000;       2.675e+10;           4.631;           4.647;           4.633;           0.003 ( 0.062 %)
  naif_ite;         10;      10000;       3.230e+12;           4.631;           4.646;           4.633;           0.003 ( 0.058 %)
  naif_ite;         10;      10000;       3.363e+18;           4.631;           4.647;           4.633;           0.003 ( 0.063 %)
  naif_ite;         10;      10000;       3.530e+11;           4.631;           4.643;           4.633;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       3.672e+15;           4.631;           4.641;           4.633;           0.002 ( 0.046 %)
  naif_ite;         10;      10000;       3.976e+20;           4.631;           4.644;           4.633;           0.002 ( 0.051 %)
  naif_ite;         10;      10000;       4.004e+11;           4.631;           4.645;           4.633;           0.003 ( 0.054 %)
  naif_ite;         10;      10000;       4.025e+13;           4.631;           4.643;           4.633;           0.002 ( 0.047 %)
  naif_ite;         10;      10000;       4.414e+13;           4.631;           4.647;           4.633;           0.003 ( 0.061 %)
  naif_ite;         10;      10000;       4.421e+13;           4.631;           4.640;           4.633;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       4.593e+18;           4.631;           4.646;           4.633;           0.003 ( 0.057 %)
  naif_ite;         10;      10000;       4.795e+13;           4.631;           4.645;           4.633;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       5.032e+12;           4.631;           4.645;           4.633;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       5.068e+17;           4.631;           4.645;           4.633;           0.003 ( 0.056 %)
  naif_ite;         10;      10000;       5.380e+13;           4.631;           4.641;           4.633;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       5.858e+13;           4.631;           4.643;           4.633;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       5.915e+18;           4.631;           4.641;           4.633;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       5.930e+15;           4.631;           4.644;           4.633;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       6.234e+13;           4.631;           4.646;           4.633;           0.003 ( 0.057 %)
  naif_ite;         10;      10000;       6.474e+10;           4.631;           4.642;           4.633;           0.002 ( 0.046 %)
  naif_ite;         10;      10000;       6.718e+08;           4.631;           4.643;           4.633;           0.002 ( 0.054 %)
  naif_ite;         10;      10000;       6.800e+10;           4.631;           4.644;           4.633;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       7.233e+16;           4.631;           4.646;           4.633;           0.003 ( 0.057 %)
  naif_ite;         10;      10000;       7.350e+31;           4.631;           4.646;           4.633;           0.003 ( 0.059 %)
  naif_ite;         10;      10000;       8.334e+16;           4.631;           4.644;           4.633;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       8.399e+29;           4.631;           4.643;           4.633;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       8.627e+22;           4.631;           4.641;           4.633;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       8.777e+23;           4.631;           4.646;           4.633;           0.003 ( 0.056 %)
  naif_ite;         10;      10000;       8.979e+10;           4.631;           4.644;           4.633;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       9.322e+10;           4.631;           4.644;           4.633;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       9.466e+14;           4.631;           4.645;           4.633;           0.003 ( 0.055 %)
  naif_ite;         10;      10000;       9.833e+17;           4.631;           4.643;           4.633;           0.002 ( 0.048 %)
  naif_ite;         10;      10000;       9.968e+14;           4.631;           4.643;           4.633;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       9.996e+13;           4.631;           4.644;           4.633;           0.002 ( 0.053 %)
