  naif_ite;         10;      10000;       1.037e+20;           3.862;           3.872;           3.863;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       1.043e+18;           3.861;           3.879;           3.863;           0.003 ( 0.078 %)
  naif_ite;         10;      10000;       1.057e+16;           3.862;           3.871;           3.863;           0.002 ( 0.041 %)
  naif_ite;         10;      10000;       1.063e+14;           3.873;           3.885;           3.875;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       1.063e+18;           3.862;           3.875;           3.863;           0.002 ( 0.060 %)
  naif_ite;         10;      10000;       1.073e+09;           3.863;           3.872;           3.865;           0.002 ( 0.045 %)
  naif_ite;         10;      10000;       1.074e+27;           3.862;           3.874;           3.863;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       1.076e+15;           3.863;           3.871;           3.864;           0.002 ( 0.041 %)
  naif_ite;         10;      10000;       1.105e+17;           3.861;           3.871;           3.863;           0.002 ( 0.042 %)
  naif_ite;         10;      10000;       1.109e+16;           3.861;           3.871;           3.862;           0.002 ( 0.047 %)
  naif_ite;         10;      10000;       1.162e+10;           3.862;           3.873;           3.864;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       1.162e+11;           3.861;           3.872;           3.863;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       1.239e+21;           3.862;           3.877;           3.864;           0.003 ( 0.067 %)
  naif_ite;         10;      10000;       1.242e+15;           3.861;           3.875;           3.862;           0.002 ( 0.063 %)
  naif_ite;         10;      10000;       1.285e+14;           3.862;           3.873;           3.863;           0.002 ( 0.051 %)
  naif_ite;         10;      10000;       1.313e+18;           3.862;           3.873;           3.864;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       1.327e+08;           3.861;           3.874;           3.863;           0.002 ( 0.060 %)
  naif_ite;         10;      10000;       1.356e+15;           3.862;           3.873;           3.864;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       1.400e+14;           3.863;           3.874;           3.865;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       1.418e+09;           3.861;           3.872;           3.862;           0.002 ( 0.051 %)
  naif_ite;         10;      10000;       1.445e+13;           3.861;           3.873;           3.863;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       1.451e+14;           3.862;           3.922;           3.871;           0.013 ( 0.347 %)
  naif_ite;         10;      10000;       1.507e+14;           3.863;           3.872;           3.864;           0.002 ( 0.042 %)
  naif_ite;         10;      10000;       1.512e+09;           3.862;           3.873;           3.863;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       1.519e+09;           3.863;           3.872;           3.865;           0.002 ( 0.042 %)
  naif_ite;         10;      10000;       1.545e+16;           3.863;           3.877;           3.864;           0.002 ( 0.063 %)
  naif_ite;         10;      10000;       1.567e+14;           3.861;           3.873;           3.862;           0.002 ( 0.055 %)
  naif_ite;         10;      10000;       1.614e+09;           3.862;           3.872;           3.863;           0.002 ( 0.048 %)
  naif_ite;         10;      10000;       1.651e+15;           3.862;           3.876;           3.863;           0.002 ( 0.064 %)
  naif_ite;         10;      10000;       1.711e+16;           3.862;           3.876;           3.864;           0.002 ( 0.064 %)
  naif_ite;         10;      10000;       1.925e+11;           3.861;           3.874;           3.863;           0.002 ( 0.058 %)
  naif_ite;         10;      10000;       1.973e+18;           3.861;           3.877;           3.863;           0.003 ( 0.072 %)
  naif_ite;         10;      10000;       2.028e+19;           3.861;           3.872;           3.862;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       2.070e+22;           3.862;           3.872;           3.864;           0.002 ( 0.044 %)
  naif_ite;         10;      10000;       2.185e+13;           3.862;           3.875;           3.864;           0.002 ( 0.060 %)
  naif_ite;         10;      10000;       2.186e+24;           3.861;           3.875;           3.862;           0.002 ( 0.064 %)
  naif_ite;         10;      10000;       2.398e+21;           3.862;           3.876;           3.863;           0.002 ( 0.061 %)
  naif_ite;         10;      10000;       2.413e+10;           3.862;           3.873;           3.864;           0.002 ( 0.048 %)
  naif_ite;         10;      10000;       2.597e+09;           3.862;           3.873;           3.863;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       2.645e+09;           3.862;           3.874;           3.864;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       2.655e+11;           3.875;           3.887;           3.877;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       2.863e+16;           3.863;           3.874;           3.864;           0.002 ( 0.050 %)
  naif_ite;         10;      10000;       3.004e+14;           3.863;           3.876;           3.864;           0.002 ( 0.057 %)
  naif_ite;         10;      10000;       3.248e+15;           3.863;           3.872;           3.864;           0.002 ( 0.044 %)
  naif_ite;         10;      10000;       3.424e+11;           3.861;           3.873;           3.863;           0.002 ( 0.051 %)
  naif_ite;         10;      10000;       3.435e+13;           3.861;           3.873;           3.862;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       3.447e+11;           3.862;           4.034;           3.869;           0.030 ( 0.769 %)
  naif_ite;         10;      10000;       3.465e+34;           3.863;           3.874;           3.865;           0.002 ( 0.048 %)
  naif_ite;         10;      10000;       3.505e+24;           3.863;           3.874;           3.865;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       3.699e+13;           3.862;           3.876;           3.864;           0.002 ( 0.061 %)
  naif_ite;         10;      10000;       3.853e+12;           3.861;           3.872;           3.863;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       3.880e+11;           3.863;           3.874;           3.865;           0.002 ( 0.048 %)
  naif_ite;         10;      10000;       3.882e+11;           3.861;           3.875;           3.862;           0.002 ( 0.063 %)
  naif_ite;         10;      10000;       3.908e+09;           3.861;           3.870;           3.862;           0.002 ( 0.047 %)
  naif_ite;         10;      10000;       3.993e+18;           3.861;           3.874;           3.862;           0.002 ( 0.059 %)
  naif_ite;         10;      10000;       4.043e+14;           3.863;           3.873;           3.864;           0.002 ( 0.046 %)
  naif_ite;         10;      10000;       4.144e+10;           3.862;           3.874;           3.864;           0.002 ( 0.056 %)
  naif_ite;         10;      10000;       4.283e+14;           3.862;           3.875;           3.863;           0.002 ( 0.060 %)
  naif_ite;         10;      10000;       4.369e+11;           3.874;           3.889;           3.876;           0.002 ( 0.063 %)
  naif_ite;         10;      10000;       4.378e+15;           3.862;           3.876;           3.863;           0.002 ( 0.063 %)
  naif_ite;         10;      10000;       4.395e+12;           3.863;           3.872;           3.864;           0.002 ( 0.042 %)
  naif_ite;         10;      10000;       4.412e+10;           3.862;           3.874;           3.863;           0.002 ( 0.052 %)
