           1.807 (32.300 %)
           1.073 (21.507 %)
           0.003 ( 0.056 %)
           0.002 ( 0.043 %)
           0.002 ( 0.048 %)
           0.002 ( 0.052 %)
           0.003 ( 0.059 %)
           0.202 ( 4.316 %)
           0.002 ( 0.052 %)
           0.067 ( 1.448 %)
           0.007 ( 0.142 %)
           0.202 ( 4.325 %)
           0.003 ( 0.057 %)
           0.003 ( 0.065 %)
           0.266 ( 5.614 %)
           0.002 ( 0.052 %)
           0.002 ( 0.046 %)
           0.002 ( 0.043 %)
           0.201 ( 4.301 %)
           0.002 ( 0.046 %)
           0.002 ( 0.053 %)
           0.002 ( 0.049 %)
           0.002 ( 0.050 %)
           0.003 ( 0.057 %)
           0.002 ( 0.040 %)
           0.169 ( 3.629 %)
           0.003 ( 0.056 %)
           0.009 ( 0.202 %)
           0.003 ( 0.062 %)
           0.002 ( 0.043 %)
           0.003 ( 0.057 %)
           0.002 ( 0.047 %)
           0.002 ( 0.047 %)
           0.002 ( 0.041 %)
           0.002 ( 0.046 %)
           0.002 ( 0.038 %)
           0.002 ( 0.051 %)
           0.002 ( 0.052 %)
           0.002 ( 0.054 %)
           0.003 ( 0.055 %)
           0.002 ( 0.046 %)
           0.002 ( 0.053 %)
           0.202 ( 4.325 %)
           0.003 ( 0.057 %)
           0.201 ( 4.314 %)
           0.002 ( 0.046 %)
           0.002 ( 0.050 %)
           0.003 ( 0.058 %)
           0.003 ( 0.057 %)
           0.002 ( 0.044 %)
           0.048 ( 1.039 %)
           0.053 ( 0.625 %)
           0.338 ( 7.128 %)
           0.003 ( 0.061 %)
           0.003 ( 0.057 %)
           0.003 ( 0.058 %)
           0.447 ( 9.411 %)
           0.002 ( 0.049 %)
           0.003 ( 0.058 %)
           0.002 ( 0.047 %)
           0.003 ( 0.054 %)
           0.002 ( 0.054 %)
           0.002 ( 0.046 %)
           0.004 ( 0.086 %)
           0.002 ( 0.052 %)
           0.002 ( 0.049 %)
           0.003 ( 0.061 %)
           0.002 ( 0.048 %)
           1.039 (21.386 %)
           0.002 ( 0.053 %)
           0.002 ( 0.043 %)
           0.203 ( 4.356 %)
           0.002 ( 0.053 %)
           0.003 ( 0.063 %)
           0.201 ( 4.314 %)
           0.003 ( 0.061 %)
           0.012 ( 0.263 %)
           0.202 ( 4.318 %)
           0.003 ( 0.063 %)
           0.202 ( 4.324 %)
           0.002 ( 0.047 %)
           0.542 (11.440 %)
           0.046 ( 1.001 %)
           0.017 ( 0.367 %)
           0.002 ( 0.043 %)
           0.075 ( 1.618 %)
           0.002 ( 0.043 %)
           0.002 ( 0.052 %)
           0.002 ( 0.052 %)
           0.003 ( 0.063 %)
           0.003 ( 0.056 %)
           0.002 ( 0.052 %)
           0.067 ( 1.431 %)
           0.002 ( 0.052 %)
           0.002 ( 0.045 %)
           0.002 ( 0.049 %)
           0.002 ( 0.051 %)
           0.119 ( 2.557 %)
           0.003 ( 0.060 %)
           0.002 ( 0.053 %)
           0.201 ( 4.315 %)
