           3.669 (10.138 %)	           0.850 (11.982 %)	           0.359 ( 9.951 %)	           2.230 (35.265 %)	           0.522 ( 8.296 %)
           3.530 (10.818 %)	           0.681 ( 9.349 %)	           0.139 ( 3.577 %)	           2.605 (28.901 %)	           1.058 (17.012 %)
           3.050 ( 9.477 %)	           0.865 (11.176 %)	           0.002 ( 0.070 %)	           2.788 (31.625 %)	           2.363 (29.237 %)
           4.916 (16.077 %)	           0.604 ( 8.467 %)	           0.409 (11.251 %)	           3.064 (38.091 %)	           0.728 (11.398 %)
           2.939 (10.339 %)	           0.198 ( 2.988 %)	           0.928 (19.704 %)	           2.364 (38.368 %)	           1.702 (25.413 %)
       17407.788 (-579.488 %)	           1.861 (22.329 %)	           0.002 ( 0.071 %)	           2.165 (34.239 %)	           2.394 (32.778 %)
           2.237 ( 8.003 %)	           1.771 (21.855 %)	           0.171 ( 4.541 %)	           2.673 (32.478 %)	           1.165 (17.174 %)
           3.171 (11.058 %)	           0.590 ( 7.992 %)	           0.002 ( 0.063 %)	           1.972 (38.906 %)	           1.010 (16.144 %)
           3.690 (13.196 %)	           0.030 ( 0.455 %)	           0.003 ( 0.072 %)	           2.150 (38.168 %)	           1.260 (19.999 %)
           3.297 (11.625 %)	           0.074 ( 1.118 %)	           0.003 ( 0.081 %)	           0.002 ( 0.052 %)	           0.980 (15.498 %)
           3.670 (12.545 %)	           0.005 ( 0.081 %)	           1.693 (34.247 %)	           0.339 ( 9.285 %)	           1.227 (17.292 %)
           0.248 ( 0.948 %)	           0.002 ( 0.026 %)	           0.826 (19.446 %)	           1.476 (29.857 %)	           2.431 (31.380 %)
           0.253 ( 0.966 %)	           1.349 (18.602 %)	           0.413 (11.305 %)	           1.491 (28.483 %)	           0.686 (10.935 %)
           6.156 (17.311 %)	           1.785 (18.742 %)	           0.087 ( 2.465 %)	           1.973 (37.670 %)	           0.993 (16.159 %)
           4.910 (15.877 %)	           2.265 (23.293 %)	           0.003 ( 0.076 %)	           0.180 ( 4.848 %)	           2.170 (27.915 %)
           0.805 ( 2.981 %)	           1.063 (14.244 %)	           0.003 ( 0.072 %)	           0.002 ( 0.057 %)	           0.897 (14.223 %)
           1.839 ( 6.753 %)	           1.289 (17.554 %)	           0.370 (10.021 %)	           0.824 (20.831 %)	           2.489 (34.062 %)
           1.262 ( 4.678 %)	           0.753 (10.284 %)	           0.763 (18.692 %)	           1.634 (28.112 %)	           1.879 (29.678 %)
           3.306 (11.557 %)	           0.740 (10.787 %)	           0.693 (16.389 %)	           1.249 (31.070 %)	           3.438 (28.917 %)
           3.416 (12.055 %)	           1.089 (14.387 %)	           0.654 (16.215 %)	           2.761 (57.815 %)	           4.236 (31.977 %)
           7.866 (18.717 %)	           2.561 (30.573 %)	           1.468 (31.155 %)	           0.268 ( 7.563 %)	           2.143 (30.769 %)
           2.565 ( 9.356 %)	           1.634 (17.222 %)	           0.003 ( 0.086 %)	           1.080 (24.861 %)	           0.935 (15.066 %)
           0.770 ( 2.925 %)	           1.899 (21.997 %)	           0.323 ( 8.851 %)	           0.041 ( 1.181 %)	           1.500 (22.836 %)
           3.478 (12.380 %)	           1.361 (17.879 %)	           1.134 (27.340 %)	           0.002 ( 0.065 %)	           2.120 (28.835 %)
           3.807 (13.081 %)	           1.209 (16.990 %)	           0.003 ( 0.074 %)	           2.990 (33.425 %)	           3.459 (36.987 %)
       17408.065 (-579.926 %)	           1.110 (15.664 %)	           0.703 (17.870 %)	           3.444 (41.566 %)	           1.341 (21.586 %)
           3.532 (12.707 %)	           1.732 (23.358 %)	           1.559 (30.074 %)	           2.177 (26.456 %)	           0.869 (14.470 %)
           0.676 ( 2.562 %)	           1.305 (15.417 %)	           1.250 (28.538 %)	           1.165 (15.905 %)	           1.533 (22.599 %)
           4.209 (14.851 %)	           1.519 (16.249 %)	           0.766 (18.439 %)	           1.844 (34.091 %)	           1.017 (16.098 %)
           3.322 (11.865 %)	           0.856 (11.780 %)	           0.479 (12.690 %)	           0.487 (12.936 %)	           0.934 (14.593 %)
           1.897 ( 7.079 %)	           1.553 (20.573 %)	           0.919 (22.419 %)	           0.512 (13.399 %)	           2.296 (29.453 %)
           3.089 (11.312 %)	           1.823 (21.834 %)	           0.002 ( 0.052 %)	           1.935 (40.990 %)	           0.988 (16.032 %)
           1.205 ( 4.555 %)	           1.894 (20.500 %)	           1.296 (29.042 %)	           1.248 (28.093 %)	           1.062 (16.746 %)
           2.962 (10.573 %)	       17408.076 (-576.247 %)	           0.804 (20.626 %)	           0.003 ( 0.072 %)	           1.254 (19.066 %)
           2.981 (10.626 %)	           1.329 (12.609 %)	           1.980 (42.760 %)	           0.003 ( 0.076 %)	           0.899 (14.395 %)
           3.386 (11.969 %)	           3.242 (25.653 %)	           0.783 (19.658 %)	           1.644 (29.130 %)	           0.884 (14.223 %)
           3.576 (12.512 %)	           1.193 (16.128 %)	           2.161 (40.797 %)	           0.419 (11.030 %)	           2.427 (28.619 %)
           1.612 ( 5.980 %)	           1.403 (17.901 %)	           0.002 ( 0.068 %)	           0.739 (18.768 %)	           2.282 (25.604 %)
           2.175 ( 7.953 %)	           0.364 ( 5.388 %)	           0.281 ( 7.766 %)	           0.003 ( 0.077 %)	           1.278 (20.332 %)
           3.485 (12.553 %)	           0.289 ( 4.326 %)	           0.002 ( 0.058 %)	           0.448 (12.058 %)	           0.790 (13.265 %)
