           0.863 (11.408 %)
           0.009 ( 0.170 %)
           0.263 ( 5.114 %)
           0.006 ( 0.115 %)
           0.011 ( 0.225 %)
           0.006 ( 0.117 %)
           0.012 ( 0.222 %)
           0.005 ( 0.103 %)
           0.005 ( 0.100 %)
           0.007 ( 0.123 %)
           0.012 ( 0.243 %)
           0.005 ( 0.085 %)
           0.006 ( 0.112 %)
           0.005 ( 0.085 %)
           0.023 ( 0.455 %)
           0.005 ( 0.092 %)
           0.007 ( 0.133 %)
           0.005 ( 0.085 %)
           0.345 ( 6.315 %)
           0.005 ( 0.100 %)
           0.004 ( 0.079 %)
           0.060 ( 1.196 %)
           0.004 ( 0.073 %)
           0.012 ( 0.244 %)
           0.004 ( 0.079 %)
           0.007 ( 0.149 %)
           0.579 (10.506 %)
           0.005 ( 0.096 %)
           0.004 ( 0.081 %)
           0.004 ( 0.080 %)
           0.004 ( 0.073 %)
           0.006 ( 0.115 %)
           0.005 ( 0.104 %)
           0.004 ( 0.075 %)
           0.007 ( 0.126 %)
           0.009 ( 0.183 %)
           0.005 ( 0.095 %)
           0.004 ( 0.088 %)
           0.012 ( 0.236 %)
           0.005 ( 0.091 %)
           0.004 ( 0.077 %)
           0.004 ( 0.080 %)
           0.003 ( 0.057 %)
           0.012 ( 0.220 %)
           0.006 ( 0.119 %)
           0.005 ( 0.083 %)
           0.007 ( 0.128 %)
           0.004 ( 0.070 %)
           0.003 ( 0.063 %)
           0.004 ( 0.068 %)
           0.004 ( 0.074 %)
           0.004 ( 0.071 %)
           0.896 (15.737 %)
           0.011 ( 0.224 %)
           0.005 ( 0.086 %)
           0.004 ( 0.083 %)
           0.010 ( 0.192 %)
           0.006 ( 0.105 %)
           0.005 ( 0.092 %)
           0.005 ( 0.087 %)
           0.005 ( 0.084 %)
           0.004 ( 0.088 %)
           0.009 ( 0.163 %)
           0.004 ( 0.077 %)
           0.005 ( 0.095 %)
           0.005 ( 0.097 %)
           0.005 ( 0.108 %)
           0.005 ( 0.092 %)
           0.011 ( 0.194 %)
           0.004 ( 0.073 %)
           0.005 ( 0.101 %)
           0.020 ( 0.372 %)
           0.007 ( 0.127 %)
           0.833 (16.044 %)
           0.005 ( 0.098 %)
           0.005 ( 0.084 %)
           0.031 ( 0.579 %)
           0.006 ( 0.117 %)
           0.005 ( 0.095 %)
           0.004 ( 0.085 %)
           0.007 ( 0.136 %)
           0.004 ( 0.078 %)
           0.004 ( 0.076 %)
           0.007 ( 0.128 %)
           0.005 ( 0.087 %)
           0.009 ( 0.187 %)
           0.012 ( 0.232 %)
           0.005 ( 0.100 %)
           0.006 ( 0.123 %)
           0.004 ( 0.065 %)
           0.005 ( 0.109 %)
           0.157 ( 3.090 %)
           0.208 ( 3.750 %)
           0.006 ( 0.112 %)
           0.006 ( 0.114 %)
           0.006 ( 0.122 %)
           0.008 ( 0.152 %)
           0.044 ( 0.730 %)
       17407.766 (-575.483 %)
           0.007 ( 0.130 %)
           0.005 ( 0.093 %)
