           5.842 ( 9.670 %)	           2.990 ( 8.475 %)	           1.547 ( 4.467 %)	           2.255 ( 7.143 %)	           0.863 (11.408 %)
           0.387 ( 0.676 %)	           1.319 ( 3.961 %)	           1.367 ( 4.138 %)	           0.698 ( 2.251 %)	           0.009 ( 0.170 %)
           0.481 ( 0.840 %)	           1.408 ( 4.157 %)	           1.497 ( 4.532 %)	           0.799 ( 2.578 %)	           0.263 ( 5.114 %)
           0.432 ( 0.754 %)	           1.096 ( 3.302 %)	           1.283 ( 3.824 %)	           0.516 ( 1.667 %)	           0.006 ( 0.115 %)
           0.454 ( 0.795 %)	           1.189 ( 3.586 %)	           0.883 ( 2.613 %)	           0.422 ( 1.362 %)	           0.011 ( 0.225 %)
           1.506 ( 2.613 %)	           1.428 ( 4.173 %)	           0.810 ( 2.398 %)	           0.360 ( 1.164 %)	           0.006 ( 0.117 %)
           0.431 ( 0.753 %)	           1.423 ( 4.260 %)	           1.019 ( 3.064 %)	           0.475 ( 1.536 %)	           0.012 ( 0.222 %)
           0.529 ( 0.925 %)	           1.103 ( 3.358 %)	           0.917 ( 2.712 %)	           0.489 ( 1.579 %)	           0.005 ( 0.103 %)
           0.518 ( 0.903 %)	           1.217 ( 3.630 %)	           0.389 ( 1.145 %)	       17407.790 (-580.392 %)	           0.005 ( 0.100 %)
           0.815 ( 1.432 %)	           1.460 ( 4.325 %)	           0.967 ( 2.907 %)	           0.363 ( 1.174 %)	           0.007 ( 0.123 %)
           1.048 ( 1.837 %)	           0.780 ( 2.309 %)	           0.862 ( 2.662 %)	           0.551 ( 1.781 %)	           0.012 ( 0.243 %)
           2.457 ( 4.260 %)	           0.599 ( 1.757 %)	           0.430 ( 1.263 %)	           1.963 ( 6.209 %)	           0.005 ( 0.085 %)
           0.615 ( 1.077 %)	           0.811 ( 2.378 %)	           0.827 ( 2.449 %)	           3.071 ( 9.573 %)	           0.006 ( 0.112 %)
           0.387 ( 0.678 %)	           0.977 ( 2.971 %)	           1.297 ( 3.791 %)	           0.990 ( 3.180 %)	           0.005 ( 0.085 %)
           0.482 ( 0.844 %)	           1.132 ( 3.424 %)	           1.325 ( 4.039 %)	           1.486 ( 4.729 %)	           0.023 ( 0.455 %)
           0.517 ( 0.904 %)	           1.066 ( 3.144 %)	           1.389 ( 4.057 %)	           0.896 ( 2.881 %)	           0.005 ( 0.092 %)
           0.829 ( 1.450 %)	           0.406 ( 1.194 %)	           1.168 ( 3.443 %)	           0.391 ( 1.263 %)	           0.007 ( 0.133 %)
           0.800 ( 1.398 %)	           1.560 ( 4.647 %)	           1.442 ( 4.245 %)	           1.049 ( 3.380 %)	           0.005 ( 0.085 %)
           0.580 ( 1.015 %)	           1.324 ( 3.945 %)	           2.500 ( 7.302 %)	           1.838 ( 5.844 %)	           0.345 ( 6.315 %)
           0.483 ( 0.846 %)	           0.954 ( 2.821 %)	           1.034 ( 3.118 %)	           0.945 ( 3.045 %)	           0.005 ( 0.100 %)
           0.405 ( 0.711 %)	           1.091 ( 3.283 %)	           0.935 ( 2.741 %)	           0.405 ( 1.307 %)	           0.004 ( 0.079 %)
           0.385 ( 0.674 %)	           0.496 ( 1.457 %)	           1.053 ( 3.167 %)	           0.437 ( 1.412 %)	           0.060 ( 1.196 %)
           2.026 ( 3.490 %)	           0.475 ( 1.397 %)	           1.534 ( 4.592 %)	           0.822 ( 2.649 %)	           0.004 ( 0.073 %)
           0.864 ( 1.507 %)	           0.843 ( 2.496 %)	           3.628 (10.524 %)	           0.461 ( 1.490 %)	           0.012 ( 0.244 %)
           0.462 ( 0.811 %)	           0.818 ( 2.422 %)	           0.992 ( 3.002 %)	           0.961 ( 3.096 %)	           0.004 ( 0.079 %)
