           2.769 (15.227 %)	           0.993 (11.691 %)	           1.020 (12.054 %)	           2.286 (26.019 %)	           0.357 ( 4.648 %)
           0.229 ( 1.634 %)	           2.919 (27.150 %)	           0.962 (11.021 %)	           2.988 (22.067 %)	           0.911 (11.388 %)
           1.803 (12.238 %)	           2.026 (20.827 %)	           1.607 (19.029 %)	           4.558 (32.949 %)	           1.844 (20.666 %)
           2.088 (13.707 %)	           0.943 (11.125 %)	           0.127 ( 1.631 %)	           1.965 (23.438 %)	           1.758 (19.932 %)
           0.431 ( 3.067 %)	           1.018 (12.292 %)	           0.358 ( 4.479 %)	           0.890 (12.102 %)	           0.513 ( 6.691 %)
           1.369 ( 9.524 %)	           2.599 (21.331 %)	           2.191 (22.211 %)	           2.244 (25.935 %)	           1.705 (19.631 %)
           4.942 (26.554 %)	           1.711 (17.432 %)	           2.167 (23.929 %)	           0.155 ( 2.201 %)	           0.632 ( 8.118 %)
           1.482 (10.124 %)	           1.300 (14.349 %)	           0.188 ( 2.395 %)	           1.005 (13.379 %)	           0.439 ( 5.719 %)
           1.844 (11.916 %)	           0.178 ( 2.269 %)	           0.862 (10.184 %)	           2.850 (31.318 %)	           0.538 ( 6.989 %)
           2.867 (18.457 %)	           0.078 ( 1.005 %)	           2.396 (26.294 %)	           0.810 (10.419 %)	           2.093 (22.373 %)
           0.234 ( 1.672 %)	           0.894 (11.052 %)	           1.136 (13.253 %)	           2.041 (18.564 %)	           1.922 (22.282 %)
           0.255 ( 1.817 %)	           0.164 ( 2.097 %)	           1.374 (16.226 %)	           0.436 ( 5.916 %)	           1.016 (12.621 %)
           3.845 (15.898 %)	           1.469 (16.650 %)	           2.786 (28.838 %)	           0.425 ( 5.571 %)	           0.104 ( 1.416 %)
           1.247 ( 8.809 %)	           1.401 (14.949 %)	           1.748 (18.388 %)	           3.827 (33.629 %)	           0.058 ( 0.783 %)
           0.480 ( 3.410 %)	           1.946 (20.316 %)	           0.189 ( 2.410 %)	           2.011 (21.860 %)	           1.991 (22.296 %)
           0.710 ( 4.991 %)	           2.806 (26.313 %)	           2.380 (23.087 %)	           3.251 (35.504 %)	           1.951 (22.695 %)
           1.171 ( 8.321 %)	           2.310 (22.764 %)	           0.359 ( 4.478 %)	           2.816 (30.646 %)	           0.123 ( 1.669 %)
           2.121 (14.316 %)	           1.489 (17.203 %)	           1.647 (19.273 %)	           0.628 ( 8.230 %)	           2.041 (22.161 %)
           2.165 (14.381 %)	           2.473 (23.076 %)	           1.587 (18.174 %)	           1.785 (20.724 %)	           1.268 (16.019 %)
           3.108 (18.878 %)	           3.165 (31.605 %)	           2.748 (23.721 %)	           3.056 (32.118 %)	           2.717 (26.245 %)
           0.850 ( 6.043 %)	           1.799 (18.722 %)	           0.218 ( 2.755 %)	           2.505 (26.588 %)	           0.537 ( 7.167 %)
           0.296 ( 2.110 %)	           1.879 (20.136 %)	           5.639 (53.015 %)	           0.711 ( 9.376 %)	           1.905 (18.861 %)
           0.007 ( 0.053 %)	           1.394 (15.898 %)	           0.071 ( 0.913 %)	           3.298 (35.177 %)	           0.806 (10.207 %)
           2.057 (13.259 %)	           1.768 (19.270 %)	           2.063 (21.857 %)	           2.014 (22.431 %)	           0.555 ( 7.135 %)
           2.142 (14.327 %)	           2.987 (29.928 %)	           0.162 ( 2.085 %)	           9.346 (58.882 %)	           0.552 ( 7.125 %)
           1.734 (11.611 %)	           3.152 (27.287 %)	           0.201 ( 2.561 %)	           1.650 (15.264 %)	           0.341 ( 4.464 %)
           0.908 ( 6.466 %)	           2.043 (18.743 %)	           0.495 ( 6.068 %)	           3.999 (36.371 %)	           0.219 ( 2.960 %)
           1.712 (11.671 %)	           2.819 (22.217 %)	           0.536 ( 6.358 %)	           2.514 (22.079 %)	           2.104 (22.678 %)
           2.565 (16.356 %)	           2.220 (15.496 %)	           4.379 (38.295 %)	           2.022 (17.114 %)	           1.956 (19.678 %)
           0.777 ( 5.451 %)	           2.668 (19.593 %)	           0.181 ( 2.305 %)	           2.828 (21.315 %)	           0.466 ( 6.005 %)
           2.494 (16.831 %)	           2.522 (23.596 %)	           0.822 ( 9.675 %)	           0.951 (11.543 %)	           1.216 (15.155 %)
           0.443 ( 3.168 %)	           1.545 (17.388 %)	           1.487 (16.521 %)	           2.402 (26.540 %)	           0.338 ( 4.568 %)
           0.521 ( 3.693 %)	           1.634 (17.632 %)	           0.894 (11.009 %)	           1.142 (14.845 %)	           0.580 ( 7.535 %)
           2.413 (15.555 %)	           2.701 (28.044 %)	           0.103 ( 1.318 %)	           2.667 (26.171 %)	           1.048 (13.055 %)
