           4.314 (11.921 %)	           3.044 (15.502 %)	           0.826 ( 4.564 %)	           2.546 (14.823 %)	           1.606 ( 9.979 %)
           6.977 (24.890 %)	           1.722 ( 8.973 %)	           2.366 (12.114 %)	           6.151 (22.954 %)	           0.488 ( 3.428 %)
           3.352 (14.526 %)	           1.191 ( 6.408 %)	           2.673 (14.632 %)	           7.191 (26.942 %)	           0.960 ( 6.191 %)
           1.430 ( 6.453 %)	           1.108 ( 6.194 %)	           0.203 ( 1.194 %)	           4.005 (20.647 %)	           1.975 (12.266 %)
           1.629 ( 7.424 %)	           1.512 ( 8.442 %)	           2.337 (12.489 %)	           4.512 (23.310 %)	           1.867 (11.841 %)
           4.792 (19.562 %)	           2.070 (11.416 %)	           3.285 (17.007 %)	           3.838 (19.778 %)	           2.124 (14.396 %)
           8.831 (24.988 %)	           2.314 (11.815 %)	           0.300 ( 1.752 %)	           4.868 (20.131 %)	           0.519 ( 3.353 %)
           6.965 (27.975 %)	           2.442 (12.390 %)	           0.901 ( 5.171 %)	           3.819 (19.849 %)	           1.311 ( 8.746 %)
           0.280 ( 1.336 %)	           0.279 ( 1.607 %)	           5.228 (24.290 %)	           2.862 (15.330 %)	           0.747 ( 4.850 %)
           2.110 ( 9.444 %)	           0.874 ( 5.077 %)	           1.498 ( 8.532 %)	           4.026 (20.570 %)	           0.224 ( 1.463 %)
           3.303 (14.947 %)	           0.483 ( 2.816 %)	           1.325 ( 7.417 %)	           0.417 ( 2.584 %)	           1.524 ( 9.045 %)
           4.022 (17.592 %)	           0.163 ( 0.942 %)	           2.536 (13.430 %)	           3.526 (19.027 %)	           0.699 ( 4.594 %)
           9.462 (25.796 %)	           0.199 ( 1.163 %)	           2.751 (14.701 %)	           4.538 (22.686 %)	           2.182 (14.782 %)
           2.918 (13.062 %)	           1.403 ( 7.603 %)	           0.042 ( 0.246 %)	           3.197 (16.874 %)	           0.379 ( 2.534 %)
           4.924 (21.173 %)	           2.729 (12.948 %)	           0.216 ( 1.249 %)	           3.511 (19.716 %)	           0.587 ( 3.848 %)
           4.992 (20.027 %)	           2.861 (14.271 %)	           3.103 (14.947 %)	           2.403 (13.977 %)	           0.933 ( 5.939 %)
           3.607 (14.925 %)	           2.890 (14.634 %)	           2.402 (12.555 %)	           4.049 (19.760 %)	           4.188 (24.414 %)
           5.457 (22.917 %)	           2.405 (12.235 %)	           0.207 ( 1.207 %)	           3.401 (17.188 %)	           3.704 (19.914 %)
