     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   507961697.179;          54.365;          65.502;          56.160;           3.328 ( 5.926 %);    135.851
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;    91249530.922;          25.901;          39.120;          27.295;           2.995 (10.972 %);    279.513
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;     1996278.724;          77.609;         100.927;          80.300;           5.667 ( 7.057 %);     95.011
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          19.057;          13.418;          14.099;          13.999;           0.228 ( 1.626 %);    544.983
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   507666687.925;          54.367;          70.561;          56.484;           4.470 ( 7.914 %);    135.071
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;      225858.509;          25.913;          36.132;          27.046;           2.461 ( 9.098 %);    282.093
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           1.106;          77.603;         105.462;          80.171;           7.288 ( 9.090 %);     95.164
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;     8262495.733;          13.420;          26.199;          14.749;           2.365 (16.036 %);    517.271
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   507371867.127;          54.366;          75.123;          57.143;           5.188 ( 9.078 %);    133.514
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;        5449.559;          25.899;          38.825;          26.664;           2.286 ( 8.573 %);    286.132
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          18.828;          77.611;         102.284;          79.855;           5.842 ( 7.316 %);     95.540
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          61.842;          13.426;          21.059;          14.350;           1.696 (11.822 %);    531.668
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
