     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.576e+24;          30.847;          40.118;          32.447;           2.241 ( 6.908 %)
  naif_ite;         10;      10000;       1.406e+12;           4.249;           4.261;           4.251;           0.002 ( 0.051 %)
  rapi_rec;         10;      10000;       2.375e+14;          11.573;          11.582;          11.575;           0.002 ( 0.016 %)
  rapi_ite;         10;      10000;       3.772e+13;           7.719;           8.334;           7.903;           0.247 ( 3.127 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.101e+15;          30.847;          31.529;          30.899;           0.167 ( 0.541 %)
  naif_ite;         10;      10000;       8.417e+15;           4.246;           4.835;           4.465;           0.204 ( 4.567 %)
  rapi_rec;         10;      10000;       6.096e+18;          11.572;          11.780;          11.580;           0.036 ( 0.309 %)
  rapi_ite;         10;      10000;       3.831e+14;           7.716;           8.328;           7.791;           0.200 ( 2.565 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.210e+18;          30.847;          34.752;          30.996;           0.685 ( 2.209 %)
  naif_ite;         10;      10000;       1.198e+19;           4.246;           4.259;           4.248;           0.002 ( 0.054 %)
  rapi_rec;         10;      10000;       1.069e+23;          11.572;          11.973;          11.596;           0.088 ( 0.759 %)
  rapi_ite;         10;      10000;       6.633e+12;           7.720;           8.680;           8.089;           0.175 ( 2.161 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.333e+16;          30.847;          35.490;          31.001;           0.808 ( 2.607 %)
  naif_ite;         10;      10000;       4.694e+23;           4.250;           4.259;           4.252;           0.002 ( 0.044 %)
  rapi_rec;         10;      10000;       3.670e+14;          11.572;          11.584;          11.574;           0.002 ( 0.021 %)
  rapi_ite;         10;      10000;       2.325e+20;           7.717;          10.129;           8.110;           0.408 ( 5.029 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.108e+15;          30.847;          36.476;          31.361;           1.291 ( 4.116 %)
  naif_ite;         10;      10000;       3.903e+25;           4.250;           4.261;           4.252;           0.002 ( 0.048 %)
  rapi_rec;         10;      10000;       1.454e+13;          11.572;          11.584;          11.574;           0.002 ( 0.020 %)
  rapi_ite;         10;      10000;       3.463e+14;           7.719;           8.329;           8.125;           0.147 ( 1.807 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.252e+14;          30.846;          31.252;          30.870;           0.084 ( 0.272 %)
  naif_ite;         10;      10000;       1.092e+16;           4.632;           4.658;           4.635;           0.004 ( 0.093 %)
  rapi_rec;         10;      10000;       2.670e+14;          11.572;          22.033;          13.149;           2.894 (22.005 %)
  rapi_ite;         10;      10000;       6.998e+15;           7.720;           9.654;           7.894;           0.379 ( 4.798 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.347e+19;          30.846;          32.424;          30.911;           0.280 ( 0.907 %)
