     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.480e+15;           6.689;           6.724;           6.691;           0.006 ( 0.089 %)
  naif_ite;         10;      10000;       6.148e+19;           6.272;           6.984;           6.294;           0.124 ( 1.967 %)
  rapi_rec;         10;      10000;       2.245e+10;      -99989.581;          12.105;       -3019.835;       17407.775 (-576.448 %)
  rapi_ite;         10;      10000;       6.192e+13;           6.950;           7.267;           6.982;           0.060 ( 0.866 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.200e+13;           6.175;           6.452;           6.185;           0.048 ( 0.782 %)
  naif_ite;         10;      10000;       2.306e+16;           5.790;           5.934;           5.796;           0.025 ( 0.428 %)
  rapi_rec;         10;      10000;       7.848e+20;           9.848;          10.908;          10.431;           0.151 ( 1.444 %)
  rapi_ite;         10;      10000;       2.133e+11;           6.947;           7.343;           6.982;           0.101 ( 1.446 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.158e+20;           6.175;           6.206;           6.176;           0.005 ( 0.087 %)
  naif_ite;         10;      10000;       9.604e+13;           5.790;           5.807;           5.791;           0.003 ( 0.050 %)
  rapi_rec;         10;      10000;       1.387e+15;           9.646;          13.098;          10.027;           0.748 ( 7.462 %)
  rapi_ite;         10;      10000;       1.020e+09;           6.950;           6.982;           6.970;           0.005 ( 0.073 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.318e+22;           6.175;           6.210;           6.176;           0.006 ( 0.097 %)
  naif_ite;         10;      10000;       9.310e+13;           5.790;           5.936;           5.795;           0.025 ( 0.434 %)
  rapi_rec;         10;      10000;       3.430e+36;           9.647;          10.425;           9.764;           0.281 ( 2.879 %)
  rapi_ite;         10;      10000;       1.874e+24;           7.331;           7.341;           7.333;           0.002 ( 0.025 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.872e+15;           6.176;           6.194;           6.179;           0.003 ( 0.049 %)
  naif_ite;         10;      10000;       5.861e+18;           5.791;           5.803;           5.793;           0.002 ( 0.035 %)
  rapi_rec;         10;      10000;       4.146e+17;          10.416;          13.841;          10.522;           0.596 ( 5.663 %)
  rapi_ite;         10;      10000;       1.585e+24;           6.969;           7.355;           7.002;           0.103 ( 1.475 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.477e+12;           6.176;           6.975;           6.204;           0.139 ( 2.236 %)
  naif_ite;         10;      10000;       1.050e+13;           5.790;           5.932;           5.795;           0.025 ( 0.423 %)
  rapi_rec;         10;      10000;       5.867e+13;           9.646;          14.763;          10.222;           0.901 ( 8.811 %)
  rapi_ite;         10;      10000;       3.864e+15;           7.332;           7.659;           7.344;           0.057 ( 0.771 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.067e+17;           6.176;           6.972;           6.200;           0.139 ( 2.235 %)
  naif_ite;         10;      10000;       5.719e+24;           5.792;           5.804;           5.793;           0.002 ( 0.037 %)
  rapi_rec;         10;      10000;       2.363e+13;          10.416;          11.753;          10.489;           0.250 ( 2.385 %)
  rapi_ite;         10;      10000;       3.934e+11;           6.948;           7.531;           7.330;           0.077 ( 1.045 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.241e+13;           6.176;           6.948;           6.701;           0.357 ( 5.333 %)
  naif_ite;         10;      10000;       3.244e+17;           5.791;           5.803;           5.793;           0.002 ( 0.035 %)
  rapi_rec;         10;      10000;       1.706e+20;           9.647;          14.892;          10.343;           0.855 ( 8.266 %)
  rapi_ite;         10;      10000;       5.479e+12;           6.946;           7.263;           6.958;           0.055 ( 0.787 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.077e+13;           6.176;           6.206;           6.178;           0.005 ( 0.082 %)
  naif_ite;         10;      10000;       7.716e+12;           5.791;           5.915;           5.796;           0.021 ( 0.369 %)
  rapi_rec;         10;      10000;       1.162e+14;          10.416;          11.413;          10.448;           0.173 ( 1.659 %)
  rapi_ite;         10;      10000;       9.392e+21;           6.946;           7.311;           6.960;           0.063 ( 0.907 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       5.683e+21;           6.175;           6.948;           6.901;           0.184 ( 2.661 %)
  naif_ite;         10;      10000;       1.304e+14;           5.790;           6.193;           5.807;           0.072 ( 1.243 %)
  rapi_rec;         10;      10000;       1.822e+16;           9.656;          10.421;          10.394;           0.133 ( 1.275 %)
  rapi_ite;         10;      10000;       1.451e+29;           6.949;           7.642;           7.297;           0.142 ( 1.942 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.485e+12;           6.175;           6.207;           6.176;           0.006 ( 0.090 %)
  naif_ite;         10;      10000;       5.345e+13;           5.790;           5.801;           5.791;           0.002 ( 0.034 %)
  rapi_rec;         10;      10000;       1.442e+22;           9.690;          10.133;           9.904;           0.178 ( 1.794 %)
  rapi_ite;         10;      10000;       4.712e+11;           6.947;           9.659;           7.032;           0.472 ( 6.708 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.747e+20;           6.175;           6.210;           6.176;           0.006 ( 0.100 %)
  naif_ite;         10;      10000;       3.443e+28;           5.791;           5.818;           5.793;           0.005 ( 0.079 %)
  rapi_rec;         10;      10000;       4.052e+08;           9.647;          19.385;          10.107;           1.696 (16.783 %)
