           2.995 (10.972 %)
           2.461 ( 9.098 %)
           2.286 ( 8.573 %)
           3.108 (11.472 %)
           1.751 ( 6.563 %)
           1.834 ( 6.872 %)
           0.269 ( 1.029 %)
           3.315 (12.205 %)
           0.479 ( 1.828 %)
           1.028 ( 3.905 %)
           0.631 ( 2.405 %)
           2.088 ( 7.807 %)
           2.415 ( 8.923 %)
           3.654 (13.288 %)
           0.500 ( 1.905 %)
           2.386 ( 8.885 %)
           2.403 ( 8.731 %)
           1.945 ( 7.264 %)
           2.010 ( 7.550 %)
           1.919 ( 7.195 %)
           2.374 ( 8.802 %)
           1.693 ( 6.338 %)
           2.897 (10.758 %)
           2.746 (10.149 %)
           2.159 ( 8.059 %)
           2.863 (10.634 %)
           0.981 ( 3.728 %)
           0.071 ( 0.271 %)
           0.038 ( 0.146 %)
           0.068 ( 0.258 %)
           0.475 ( 1.812 %)
           1.035 ( 3.909 %)
           0.090 ( 0.344 %)
           0.427 ( 1.629 %)
           0.100 ( 0.382 %)
           0.075 ( 0.288 %)
           0.097 ( 0.371 %)
           0.065 ( 0.250 %)
           0.081 ( 0.310 %)
           0.568 ( 2.166 %)
           0.102 ( 0.390 %)
           0.076 ( 0.293 %)
           0.095 ( 0.364 %)
           0.068 ( 0.260 %)
           0.099 ( 0.379 %)
           0.075 ( 0.289 %)
           0.106 ( 0.405 %)
           0.075 ( 0.287 %)
           0.093 ( 0.357 %)
           0.070 ( 0.266 %)
           0.098 ( 0.375 %)
           0.074 ( 0.285 %)
           0.093 ( 0.356 %)
           0.075 ( 0.288 %)
           0.104 ( 0.396 %)
           0.071 ( 0.270 %)
           0.105 ( 0.401 %)
           0.072 ( 0.274 %)
           0.095 ( 0.363 %)
           0.068 ( 0.261 %)
           0.094 ( 0.359 %)
           0.070 ( 0.267 %)
           0.107 ( 0.409 %)
           0.067 ( 0.257 %)
           0.097 ( 0.371 %)
           0.067 ( 0.258 %)
           0.103 ( 0.393 %)
           0.644 ( 2.451 %)
           0.105 ( 0.401 %)
           0.070 ( 0.266 %)
           1.502 ( 5.661 %)
           0.068 ( 0.258 %)
           0.195 ( 0.746 %)
           0.104 ( 0.398 %)
           0.125 ( 0.480 %)
           0.064 ( 0.245 %)
           0.097 ( 0.371 %)
           0.077 ( 0.296 %)
           0.081 ( 0.312 %)
           0.071 ( 0.271 %)
           0.292 ( 1.115 %)
           0.066 ( 0.253 %)
           0.066 ( 0.252 %)
           0.069 ( 0.266 %)
           0.252 ( 0.961 %)
           0.074 ( 0.281 %)
           0.073 ( 0.278 %)
           0.068 ( 0.259 %)
           0.254 ( 0.970 %)
           0.068 ( 0.258 %)
           0.997 ( 3.786 %)
           0.379 ( 1.446 %)
           1.228 ( 4.661 %)
           0.672 ( 2.559 %)
           0.319 ( 1.216 %)
           0.258 ( 0.985 %)
           0.599 ( 2.281 %)
           0.072 ( 0.274 %)
           0.259 ( 0.990 %)
           0.058 ( 0.223 %)
           0.075 ( 0.286 %)
