           3.983 (13.743 %)	           3.500 (33.750 %)	           4.071 (41.571 %)	           1.175 (23.632 %)	           0.536 ( 9.677 %)
           1.193 ( 4.413 %)	           0.002 ( 0.027 %)	           1.395 (28.276 %)	           0.573 (12.068 %)	           1.936 (28.003 %)
           2.938 (10.733 %)	           0.849 (12.298 %)	           1.474 (25.991 %)	           1.713 (23.948 %)	           1.211 (19.403 %)
           1.297 ( 4.779 %)	           0.005 ( 0.074 %)	           0.024 ( 0.564 %)	           0.698 (14.410 %)	           1.790 (28.169 %)
           2.185 ( 7.994 %)	           2.061 (24.931 %)	           1.674 (31.209 %)	           2.561 (25.907 %)	           1.921 (26.731 %)
           5.652 (16.205 %)	           0.115 ( 1.736 %)	           0.412 ( 9.322 %)	           2.565 (25.683 %)	           1.014 (18.742 %)
           4.905 (16.401 %)	           0.467 ( 6.717 %)	           1.648 (31.659 %)	           1.091 (20.978 %)	           0.833 (14.152 %)
           3.987 (14.000 %)	           0.604 ( 9.046 %)	           0.003 ( 0.064 %)	           0.675 (14.667 %)	           1.564 (24.107 %)
           2.025 ( 7.607 %)	           2.575 (19.841 %)	           0.226 ( 5.222 %)	           0.193 ( 4.395 %)	           1.758 (26.670 %)
           4.978 (14.998 %)	           1.882 (23.763 %)	           0.396 ( 8.648 %)	           0.468 ( 9.875 %)	           0.487 ( 8.924 %)
           4.407 (14.643 %)	           0.640 ( 9.236 %)	           1.644 (30.788 %)	           0.161 ( 3.442 %)	           0.160 ( 3.130 %)
           2.865 (10.374 %)	           0.375 ( 5.647 %)	           0.559 (12.153 %)	           0.566 (12.138 %)	           1.525 (25.220 %)
           4.993 (17.157 %)	           2.037 (26.679 %)	           1.868 (31.902 %)	           1.621 (29.258 %)	           1.741 (29.914 %)
           0.976 ( 3.700 %)	           2.165 (19.633 %)	           0.451 (10.223 %)	           0.435 ( 9.632 %)	           0.614 (10.640 %)
           0.460 ( 1.751 %)	           2.764 (20.441 %)	           1.652 (30.624 %)	           1.615 (29.189 %)	           0.530 ( 9.729 %)
           0.547 ( 2.081 %)	           2.536 (21.619 %)	           2.767 (28.535 %)	           1.552 (22.211 %)	           0.367 ( 7.174 %)
           3.309 (11.850 %)	           1.243 (17.065 %)	           1.848 (32.970 %)	           0.534 (11.782 %)	           0.917 (16.206 %)
           9.115 (26.975 %)	           0.833 (11.135 %)	           1.808 (31.128 %)	           1.345 (22.286 %)	           0.785 (14.235 %)
           1.626 ( 6.034 %)	           0.306 ( 4.603 %)	           1.220 (19.254 %)	           1.472 (21.044 %)	           2.611 (32.594 %)
           1.745 ( 6.221 %)	           1.753 (23.277 %)	           1.226 (25.597 %)	           0.003 ( 0.061 %)	           0.478 ( 8.405 %)
           2.943 (10.707 %)	           1.334 (17.010 %)	           0.176 ( 3.985 %)	           0.406 ( 8.021 %)	           0.841 (14.546 %)
           4.616 (15.620 %)	           2.285 (27.208 %)	           2.102 (32.312 %)	           0.002 ( 0.034 %)	           1.803 (26.013 %)
           0.813 ( 3.042 %)	           2.017 (24.932 %)	           0.034 ( 0.808 %)	           2.092 (30.652 %)	           4.769 (39.961 %)
           2.682 ( 9.561 %)	           1.446 (20.163 %)	           0.426 ( 9.418 %)	           1.649 (26.842 %)	           1.966 (24.109 %)
           0.638 ( 2.411 %)	           0.400 ( 6.113 %)	           1.598 (28.180 %)	           0.761 (15.396 %)	           1.318 (13.205 %)
           2.465 ( 8.705 %)	           0.038 ( 0.579 %)	           2.035 (36.773 %)	           1.063 (18.713 %)	           1.236 (21.329 %)
           3.472 (12.080 %)	           0.517 ( 7.598 %)	           1.419 (25.772 %)	           1.102 (15.282 %)	           1.531 (22.792 %)
           1.867 ( 6.885 %)	           1.072 (14.501 %)	           1.587 (29.245 %)	           0.715 (15.983 %)	           1.006 (17.375 %)
           3.426 (12.077 %)	           2.123 (23.798 %)	           0.024 ( 0.574 %)	           0.224 ( 5.203 %)	           0.929 (15.495 %)
           0.848 ( 3.116 %)	           0.280 ( 4.188 %)	           0.391 ( 8.604 %)	           0.525 (11.281 %)	           1.916 (27.751 %)
           3.836 (13.079 %)	           0.076 ( 1.160 %)	       17407.814 (-575.808 %)	           1.919 (27.796 %)	           1.335 (22.535 %)
           2.514 ( 9.063 %)	           0.855 (12.577 %)	           0.002 ( 0.047 %)	           0.443 ( 9.683 %)	           1.608 (25.454 %)
