           4.504 (11.992 %)
           1.097 ( 3.242 %)
           0.490 ( 1.457 %)
           0.415 ( 1.234 %)
           0.310 ( 0.921 %)
           0.619 ( 1.837 %)
           0.579 ( 1.717 %)
           0.467 ( 1.388 %)
           0.597 ( 1.773 %)
           0.584 ( 1.736 %)
           0.796 ( 2.362 %)
           0.597 ( 1.771 %)
           0.454 ( 1.351 %)
           1.822 ( 5.330 %)
           0.426 ( 1.266 %)
           4.384 (12.379 %)
           0.393 ( 1.168 %)
           0.462 ( 1.372 %)
           0.580 ( 1.722 %)
           0.930 ( 2.755 %)
           0.488 ( 1.449 %)
           0.495 ( 1.472 %)
           0.491 ( 1.458 %)
           0.404 ( 1.201 %)
           0.638 ( 1.895 %)
           1.603 ( 4.698 %)
           0.831 ( 2.461 %)
           0.521 ( 1.549 %)
           1.027 ( 3.041 %)
           0.483 ( 1.434 %)
           0.476 ( 1.414 %)
           0.982 ( 2.911 %)
           0.387 ( 1.150 %)
           0.398 ( 1.183 %)
           0.894 ( 2.647 %)
           1.164 ( 3.446 %)
           0.512 ( 1.521 %)
           0.450 ( 1.339 %)
           0.494 ( 1.467 %)
           0.508 ( 1.509 %)
           0.358 ( 1.064 %)
           0.535 ( 1.590 %)
           0.118 ( 0.352 %)
           0.468 ( 1.391 %)
           0.749 ( 2.223 %)
           0.480 ( 1.426 %)
           0.518 ( 1.540 %)
           0.387 ( 1.151 %)
           0.076 ( 0.227 %)
           0.571 ( 1.697 %)
           0.530 ( 1.576 %)
           0.401 ( 1.192 %)
           0.511 ( 1.519 %)
           0.439 ( 1.304 %)
           0.469 ( 1.394 %)
           0.507 ( 1.505 %)
           0.417 ( 1.240 %)
           0.506 ( 1.502 %)
           0.744 ( 2.207 %)
           0.553 ( 1.642 %)
           0.388 ( 1.153 %)
           1.334 ( 3.947 %)
       17407.799 (-580.925 %)
           0.502 ( 1.491 %)
           0.394 ( 1.171 %)
           0.628 ( 1.866 %)
           0.483 ( 1.435 %)
           0.576 ( 1.710 %)
           0.383 ( 1.140 %)
           1.293 ( 3.826 %)
           6.474 (17.375 %)
           0.637 ( 1.892 %)
           0.556 ( 1.652 %)
           0.525 ( 1.558 %)
           1.531 ( 4.526 %)
           0.371 ( 1.104 %)
           0.352 ( 1.047 %)
           0.718 ( 2.125 %)
           0.564 ( 1.675 %)
           0.448 ( 1.331 %)
           0.134 ( 0.400 %)
           1.562 ( 4.572 %)
           0.537 ( 1.595 %)
           1.760 ( 5.087 %)
           0.478 ( 1.418 %)
           1.120 ( 3.301 %)
           1.151 ( 3.398 %)
           1.903 ( 5.575 %)
           0.694 ( 2.056 %)
           0.991 ( 2.921 %)
           0.758 ( 2.242 %)
           0.396 ( 1.176 %)
           2.320 ( 6.714 %)
           0.885 ( 2.616 %)
           1.362 ( 4.003 %)
           1.210 ( 3.566 %)
           0.472 ( 1.404 %)
           1.084 ( 3.205 %)
           0.408 ( 1.213 %)
           0.447 ( 1.329 %)
       17407.272 (-580.905 %)
