           3.763 ( 6.398 %)	           5.084 (13.402 %)	           4.504 (11.992 %)	           0.916 ( 2.839 %)	           0.613 ( 8.802 %)
           0.677 ( 1.187 %)	           0.479 ( 1.424 %)	           1.097 ( 3.242 %)	           0.529 ( 1.649 %)	           0.008 ( 0.125 %)
           0.570 ( 0.995 %)	           0.398 ( 1.184 %)	           0.490 ( 1.457 %)	           0.408 ( 1.272 %)	           0.008 ( 0.131 %)
           1.648 ( 2.854 %)	           0.507 ( 1.508 %)	           0.415 ( 1.234 %)	           0.690 ( 2.148 %)	           0.004 ( 0.070 %)
           0.492 ( 0.863 %)	           0.499 ( 1.483 %)	           0.310 ( 0.921 %)	           0.490 ( 1.528 %)	           0.007 ( 0.108 %)
           0.513 ( 0.900 %)	           1.887 ( 5.498 %)	           0.619 ( 1.837 %)	           0.423 ( 1.319 %)	           0.005 ( 0.083 %)
           4.186 ( 7.059 %)	           2.148 ( 6.252 %)	           0.579 ( 1.717 %)	           0.964 ( 2.986 %)	           0.006 ( 0.098 %)
           0.426 ( 0.745 %)	           0.755 ( 2.236 %)	           0.467 ( 1.388 %)	           0.942 ( 2.968 %)	           1.482 (22.778 %)
           0.506 ( 0.883 %)	           0.475 ( 1.412 %)	           0.597 ( 1.773 %)	           0.376 ( 1.171 %)	           0.006 ( 0.095 %)
           0.633 ( 1.105 %)	           0.474 ( 1.410 %)	           0.584 ( 1.736 %)	           0.485 ( 1.509 %)	           0.006 ( 0.090 %)
           0.726 ( 1.274 %)	           0.552 ( 1.642 %)	           0.796 ( 2.362 %)	           0.477 ( 1.487 %)	           0.006 ( 0.101 %)
           1.257 ( 2.204 %)	           0.849 ( 2.517 %)	           0.597 ( 1.771 %)	           0.843 ( 2.620 %)	           0.006 ( 0.091 %)
           0.457 ( 0.800 %)	           1.668 ( 4.878 %)	           0.454 ( 1.351 %)	           0.505 ( 1.571 %)	           0.005 ( 0.075 %)
           0.994 ( 1.733 %)	           6.663 (18.337 %)	           1.822 ( 5.330 %)	           0.832 ( 2.583 %)	           1.669 (24.776 %)
           0.587 ( 1.031 %)	           2.174 ( 6.350 %)	           0.426 ( 1.266 %)	           0.406 ( 1.266 %)	           0.005 ( 0.083 %)
           0.873 ( 1.523 %)	           0.585 ( 1.736 %)	           4.384 (12.379 %)	           0.479 ( 1.493 %)	           0.005 ( 0.092 %)
           1.950 ( 3.381 %)	           0.393 ( 1.170 %)	           0.393 ( 1.168 %)	           0.719 ( 2.237 %)	           0.079 ( 1.356 %)
           0.389 ( 0.680 %)	           1.031 ( 3.054 %)	           0.462 ( 1.372 %)	           3.896 (11.421 %)	           0.006 ( 0.091 %)
           0.453 ( 0.793 %)	           0.371 ( 1.102 %)	           0.580 ( 1.722 %)	           0.602 ( 1.868 %)	           0.004 ( 0.068 %)
           0.491 ( 0.856 %)	           0.484 ( 1.439 %)	           0.930 ( 2.755 %)	           0.736 ( 2.283 %)	           0.004 ( 0.072 %)
           0.454 ( 0.795 %)	           0.475 ( 1.411 %)	           0.488 ( 1.449 %)	           1.004 ( 3.104 %)	           1.583 (23.896 %)
           0.574 ( 1.005 %)	           0.495 ( 1.470 %)	           0.495 ( 1.472 %)	           0.972 ( 3.005 %)	           3.062 (37.675 %)
           0.721 ( 1.259 %)	           0.504 ( 1.498 %)	           0.491 ( 1.458 %)	           1.079 ( 3.344 %)	           0.004 ( 0.070 %)
           0.573 ( 1.003 %)	           0.389 ( 1.157 %)	           0.404 ( 1.201 %)	           0.480 ( 1.495 %)	           0.527 ( 8.400 %)
           0.933 ( 1.635 %)	           0.522 ( 1.552 %)	           0.638 ( 1.895 %)	           1.823 ( 5.584 %)	           0.006 ( 0.105 %)
           0.999 ( 1.755 %)	           0.907 ( 2.687 %)	           1.603 ( 4.698 %)	           1.777 ( 5.465 %)	           0.012 ( 0.194 %)
           0.530 ( 0.927 %)	           0.660 ( 1.958 %)	           0.831 ( 2.461 %)	           0.477 ( 1.486 %)	           2.348 (34.838 %)
           1.770 ( 3.063 %)	           2.309 ( 6.710 %)	           0.521 ( 1.549 %)	           0.360 ( 1.120 %)	           0.009 ( 0.144 %)
           0.452 ( 0.788 %)	           0.532 ( 1.578 %)	           1.027 ( 3.041 %)	           0.468 ( 1.457 %)	           0.006 ( 0.095 %)
           0.394 ( 0.689 %)	           0.465 ( 1.383 %)	           0.483 ( 1.434 %)	           0.850 ( 2.637 %)	           0.004 ( 0.066 %)
           1.128 ( 1.967 %)	           0.485 ( 1.440 %)	           0.476 ( 1.414 %)	           0.440 ( 1.372 %)	           0.005 ( 0.078 %)
           0.593 ( 1.036 %)	           0.419 ( 1.245 %)	           0.982 ( 2.911 %)	           0.516 ( 1.606 %)	           0.413 ( 6.568 %)
           0.558 ( 0.981 %)	           0.299 ( 0.889 %)	           0.387 ( 1.150 %)	           0.397 ( 1.239 %)	           0.054 ( 0.869 %)
           0.517 ( 0.903 %)	           0.394 ( 1.171 %)	           0.398 ( 1.183 %)	           0.491 ( 1.530 %)	           1.198 (18.364 %)
           0.651 ( 1.133 %)	           0.726 ( 2.155 %)	           0.894 ( 2.647 %)	           0.764 ( 2.370 %)	           0.430 ( 6.807 %)
           0.861 ( 1.505 %)	           0.527 ( 1.566 %)	           1.164 ( 3.446 %)	           0.810 ( 2.515 %)	           0.004 ( 0.070 %)
           0.676 ( 1.185 %)	           0.526 ( 1.561 %)	           0.512 ( 1.521 %)	           0.382 ( 1.190 %)	           0.005 ( 0.088 %)
           0.575 ( 1.007 %)	           0.421 ( 1.251 %)	           0.450 ( 1.339 %)	           0.557 ( 1.732 %)	           0.054 ( 0.880 %)
           0.711 ( 1.245 %)	       17407.782 (-580.906 %)	           0.494 ( 1.467 %)	           0.692 ( 2.154 %)	           0.004 ( 0.071 %)
