           0.228 ( 1.626 %)	           0.160 ( 2.273 %)	           0.174 ( 2.231 %)	           0.071 ( 1.022 %)	           0.056 ( 0.757 %)
           2.365 (16.036 %)	           0.196 ( 2.743 %)	           1.870 (21.816 %)	           0.003 ( 0.045 %)	           0.053 ( 0.726 %)
           1.696 (11.822 %)	           0.003 ( 0.040 %)	           1.952 (22.734 %)	           0.006 ( 0.093 %)	           0.066 ( 0.893 %)
           2.818 (19.384 %)	           0.225 ( 3.211 %)	           0.210 ( 2.670 %)	           0.368 ( 5.051 %)	           0.075 ( 1.014 %)
           2.524 (16.830 %)	           0.184 ( 2.620 %)	           0.208 ( 2.665 %)	           0.134 ( 1.920 %)	           0.093 ( 1.268 %)
           0.718 ( 5.118 %)	           0.093 ( 1.333 %)	           0.202 ( 2.586 %)	           0.094 ( 1.346 %)	           0.082 ( 1.111 %)
           0.233 ( 1.663 %)	           0.303 ( 4.033 %)	           0.535 ( 6.829 %)	           0.278 ( 3.916 %)	           0.055 ( 0.742 %)
           0.234 ( 1.673 %)	           0.094 ( 1.343 %)	           0.250 ( 3.158 %)	           0.055 ( 0.788 %)	           0.056 ( 0.762 %)
           0.234 ( 1.672 %)	           0.303 ( 4.008 %)	           0.002 ( 0.028 %)	           0.067 ( 0.962 %)	           0.063 ( 0.860 %)
           0.244 ( 1.746 %)	           0.194 ( 2.707 %)	           0.251 ( 3.175 %)	           0.290 ( 4.062 %)	           0.066 ( 0.894 %)
           0.241 ( 1.720 %)	           0.355 ( 4.897 %)	           0.221 ( 2.724 %)	           0.006 ( 0.092 %)	           0.053 ( 0.716 %)
           0.243 ( 1.733 %)	           0.135 ( 1.930 %)	           0.140 ( 1.714 %)	           0.381 ( 5.233 %)	           0.108 ( 1.465 %)
           0.230 ( 1.641 %)	           0.279 ( 3.956 %)	           0.201 ( 2.432 %)	           0.750 (10.485 %)	           0.068 ( 0.920 %)
           0.332 ( 2.366 %)	           0.002 ( 0.023 %)	           1.514 (18.330 %)	           1.210 (16.658 %)	           0.063 ( 0.854 %)
           1.247 ( 8.789 %)	           2.043 (25.759 %)	           0.156 ( 2.012 %)	           0.133 ( 1.902 %)	           0.066 ( 0.901 %)
           0.349 ( 2.501 %)	           0.178 ( 2.540 %)	           0.146 ( 1.882 %)	           0.315 ( 4.171 %)	           0.003 ( 0.043 %)
           2.648 (17.709 %)	           0.191 ( 2.687 %)	           0.304 ( 3.771 %)	           0.328 ( 4.592 %)	           0.067 ( 0.910 %)
           2.151 (14.736 %)	           0.193 ( 2.690 %)	           0.207 ( 2.660 %)	           0.426 ( 5.945 %)	           0.066 ( 0.894 %)
           1.805 (12.388 %)	           0.001 ( 0.021 %)	           2.640 (27.774 %)	           0.212 ( 2.986 %)	           0.069 ( 0.935 %)
           0.216 ( 1.545 %)	           0.180 ( 2.543 %)	           1.231 (14.372 %)	           1.046 (14.595 %)	           0.092 ( 1.245 %)
           0.227 ( 1.619 %)	           0.188 ( 2.652 %)	           0.202 ( 2.441 %)	           0.558 ( 7.778 %)	           0.115 ( 1.569 %)
           0.225 ( 1.611 %)	           0.291 ( 3.993 %)	           0.112 ( 1.347 %)	           1.111 (15.288 %)	           0.069 ( 0.945 %)
           0.360 ( 2.563 %)	           0.359 ( 4.854 %)	           0.214 ( 2.724 %)	           0.370 ( 5.096 %)	           0.058 ( 0.791 %)
           1.468 (10.284 %)	           0.593 ( 8.035 %)	           0.258 ( 3.272 %)	           0.775 (10.799 %)	           0.058 ( 0.795 %)
           0.226 ( 1.616 %)	           0.361 ( 4.962 %)	           0.181 ( 2.190 %)	           0.383 ( 5.265 %)	           0.218 ( 2.958 %)
           0.336 ( 2.390 %)	           0.141 ( 2.014 %)	           0.176 ( 2.258 %)	           0.313 ( 4.390 %)	           0.051 ( 0.689 %)
           0.038 ( 0.267 %)	           0.132 ( 1.897 %)	           0.179 ( 2.161 %)	           0.633 ( 8.795 %)	           0.985 (12.582 %)
           0.009 ( 0.063 %)	           1.665 (21.816 %)	           0.175 ( 2.257 %)	           0.003 ( 0.036 %)	           0.079 ( 1.073 %)
           0.009 ( 0.062 %)	           0.195 ( 2.731 %)	           0.111 ( 1.334 %)	           0.306 ( 4.304 %)	           0.055 ( 0.749 %)
           1.015 ( 7.158 %)	           0.003 ( 0.039 %)	           0.069 ( 0.896 %)	           0.705 ( 9.731 %)	           0.788 (10.531 %)
           0.449 ( 3.191 %)	           0.060 ( 0.854 %)	           0.173 ( 2.210 %)	           0.383 ( 5.247 %)	           0.062 ( 0.844 %)
           0.995 ( 7.073 %)	           0.151 ( 2.147 %)	           0.308 ( 3.839 %)	           0.016 ( 0.237 %)	           0.060 ( 0.818 %)
           0.009 ( 0.063 %)	           0.067 ( 0.963 %)	           0.230 ( 2.848 %)	           0.355 ( 4.944 %)	           0.065 ( 0.888 %)
           0.007 ( 0.050 %)	           0.069 ( 0.996 %)	           0.145 ( 1.864 %)	           0.755 (10.581 %)	           0.064 ( 0.866 %)
           0.008 ( 0.055 %)	           1.217 (16.432 %)	           0.002 ( 0.022 %)	           0.134 ( 1.919 %)	           0.627 ( 8.365 %)
           0.009 ( 0.063 %)	           0.095 ( 1.357 %)	           0.107 ( 1.384 %)	           0.361 ( 4.992 %)	           2.883 (35.936 %)
           0.211 ( 1.508 %)	           1.050 (13.881 %)	           0.102 ( 1.232 %)	           0.365 ( 5.044 %)	           3.188 (34.137 %)
           0.035 ( 0.249 %)	           0.170 ( 2.425 %)	           0.002 ( 0.024 %)	           0.005 ( 0.079 %)	           0.273 ( 3.684 %)
           0.009 ( 0.061 %)	           0.067 ( 0.968 %)	           0.120 ( 1.545 %)	           0.278 ( 3.931 %)	           0.056 ( 0.764 %)
           0.007 ( 0.050 %)	           0.168 ( 2.319 %)	           0.102 ( 1.312 %)	           0.211 ( 3.005 %)	           0.069 ( 0.933 %)
           0.007 ( 0.048 %)	           0.008 ( 0.117 %)	           0.002 ( 0.021 %)	           0.063 ( 0.898 %)	           0.210 ( 2.844 %)
           0.006 ( 0.046 %)	           0.140 ( 2.002 %)	           0.226 ( 2.890 %)	           0.148 ( 2.117 %)	           0.058 ( 0.793 %)
