           4.943 ( 6.788 %)	           1.030 ( 8.997 %)	           0.089 ( 0.824 %)	           0.002 ( 0.016 %)	       17407.775 (-576.448 %)
           9.326 (12.133 %)	           0.076 ( 0.676 %)	           0.058 ( 0.537 %)	           0.036 ( 0.309 %)	           0.151 ( 1.444 %)
           2.264 ( 3.184 %)	           0.005 ( 0.045 %)	           0.096 ( 0.881 %)	           0.088 ( 0.759 %)	           0.748 ( 7.462 %)
           0.065 ( 0.092 %)	           0.095 ( 0.843 %)	           0.023 ( 0.217 %)	           0.002 ( 0.021 %)	           0.281 ( 2.879 %)
           5.307 ( 7.367 %)	           0.068 ( 0.609 %)	           0.016 ( 0.147 %)	           0.002 ( 0.020 %)	           0.596 ( 5.663 %)
           0.993 ( 1.402 %)	           1.894 (15.917 %)	           1.965 (17.192 %)	           2.894 (22.005 %)	           0.901 ( 8.811 %)
           0.279 ( 0.394 %)	           0.616 ( 5.366 %)	           0.016 ( 0.151 %)	           0.002 ( 0.016 %)	           0.250 ( 2.385 %)
           1.296 ( 1.827 %)	           0.094 ( 0.841 %)	           3.623 (28.727 %)	           0.002 ( 0.016 %)	           0.855 ( 8.266 %)
           1.736 ( 2.439 %)	           0.009 ( 0.079 %)	           0.174 ( 1.602 %)	           0.180 ( 1.575 %)	           0.173 ( 1.659 %)
           0.504 ( 0.712 %)	           0.336 ( 2.991 %)	           0.026 ( 0.239 %)	           0.001 ( 0.012 %)	           0.133 ( 1.275 %)
           0.584 ( 0.827 %)	           0.127 ( 1.127 %)	           0.019 ( 0.174 %)	           0.062 ( 0.531 %)	           0.178 ( 1.794 %)
           0.253 ( 0.358 %)	           0.107 ( 0.951 %)	           0.022 ( 0.202 %)	           0.002 ( 0.014 %)	           1.696 (16.783 %)
           0.058 ( 0.082 %)	           0.013 ( 0.113 %)	           0.049 ( 0.446 %)	           0.002 ( 0.018 %)	           0.700 ( 6.571 %)
           0.077 ( 0.110 %)	           0.113 ( 1.009 %)	           1.070 ( 9.684 %)	           0.004 ( 0.034 %)	           0.876 ( 8.605 %)
           0.194 ( 0.275 %)	           1.038 ( 8.995 %)	           0.946 ( 8.504 %)	           0.002 ( 0.016 %)	           1.063 (10.308 %)
           1.241 ( 1.745 %)	           0.010 ( 0.085 %)	           0.028 ( 0.254 %)	           0.063 ( 0.541 %)	           0.775 ( 7.815 %)
           0.078 ( 0.110 %)	           0.076 ( 0.676 %)	           0.017 ( 0.156 %)	           0.131 ( 1.132 %)	           0.285 ( 2.765 %)
           0.468 ( 0.662 %)	           0.068 ( 0.611 %)	           0.016 ( 0.150 %)	           0.535 ( 4.549 %)	           0.023 ( 0.224 %)
           0.161 ( 0.227 %)	           0.010 ( 0.094 %)	           0.017 ( 0.157 %)	           0.061 ( 0.522 %)	           0.968 ( 9.680 %)
           1.291 ( 1.819 %)	           0.002 ( 0.015 %)	           0.545 ( 4.930 %)	           0.145 ( 1.252 %)	           0.346 ( 3.551 %)
           1.770 ( 2.484 %)	           0.018 ( 0.160 %)	           0.012 ( 0.110 %)	           0.132 ( 1.135 %)	           1.076 (10.868 %)
