-nan -nan
0 0
4.76836e-08 5.84002e-08
8.4771e-08 5.2864e-08
7.15254e-08 5.84002e-08
4.88282e-08 2.44141e-08
2.8257e-08 3.46076e-08
1.77945e-08 3.5589e-08
9.53674e-08 8.92082e-08
5.02347e-08 4.10165e-08
1.09863e-07 8.09724e-08
1.28398e-07 4.49299e-08
5.6514e-08 5.2864e-08
4.445e-08 5.44399e-08
8.89725e-08 0
4.34028e-08 5.78704e-08
5.96045e-08 5.33119e-08
5.96314e-08 4.86888e-08
1.67449e-08 3.34898e-08
7.11885e-08 6.36729e-08
4.88281e-08 4.56744e-08
6.32694e-08 8.43592e-08
3.66853e-08 4.49301e-08
8.02631e-08 5.07628e-08
8.4771e-08 5.2864e-08
5e-08 4.67707e-08
8.89e-08 4.445e-08
7.93832e-08 7.42562e-08
7.1178e-08 3.5589e-08
3.20329e-08 3.92321e-08
1.01273e-07 5.78704e-08
5.24488e-08 4.90613e-08
4.76837e-08 2.38418e-08
8.69576e-08 4.34788e-08
3.97542e-08 4.86888e-08
5.46647e-08 4.46336e-08
1.17214e-07 8.53824e-08
6.16942e-08 3.08471e-08
5.69507e-08 2.84754e-08
3.9511e-08 3.22606e-08
8.54491e-08 6.22437e-08
9.06832e-08 4.53416e-08
6.32694e-08 5.16592e-08
5.89571e-08 4.81383e-08
7.33705e-08 6.86317e-08
6.85871e-08 3.42936e-08
6.42105e-08 6.00634e-08
6.01987e-08 5.63108e-08
2.8257e-08 3.46076e-08
7.96862e-08 2.65619e-08
7.5e-08 4.67707e-08
2.3558e-08 4.7116e-08
8.89e-08 4.445e-08
4.19808e-08 5.14158e-08
5.95374e-08 7.93832e-08
5.63486e-08 4.60085e-08
3.5589e-08 4.35874e-08
5.06228e-08 4.13334e-08
4.80493e-08 3.92321e-08
4.56473e-08 3.72709e-08
1.44676e-08 2.89352e-08
5.50708e-08 5.1514e-08
5.24488e-08 4.90613e-08
2.49954e-08 4.99908e-08
2.38418e-08 4.76836e-08
4.55166e-08 9.10332e-08
6.52182e-08 8.69576e-08
8.31216e-08 4.15608e-08
3.97542e-08 4.86888e-08
5.70762e-08 7.61016e-08
7.28864e-08 6.8179e-08
3.49249e-08 4.27741e-08
6.69796e-08 3.34898e-08
9.63966e-08 7.87075e-08
6.16943e-08 5.77098e-08
5.92593e-08 2.96296e-08
4.2713e-08 3.48751e-08
6.84507e-08 0
7.90219e-08 7.67955e-08
1.26765e-07 5.66909e-08
3.66211e-08 2.9901e-08
7.0563e-08 5.76144e-08
1.13354e-07 7.16917e-08
6.55838e-08 8.74452e-08
6.32694e-08 5.16592e-08
8.14168e-08 4.07084e-08
5.89571e-08 4.81383e-08
3.79649e-08 4.64973e-08
5.50279e-08 4.49301e-08
3.54626e-08 4.34326e-08
3.42936e-08 4.20009e-08
4.97631e-08 6.63508e-08
9.63159e-08 7.86417e-08
3.10807e-08 3.8066e-08
7.52484e-08 4.75913e-08
1.16635e-07 3.57121e-08
8.47711e-08 6.92154e-08
4.1088e-08 5.4784e-08
1.06248e-07 3.25316e-08
6.44131e-08 4.07384e-08
8.75e-08 3.06186e-08
