-nan -nan
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
6.35784e-08 5.19115e-08
0 0
1.73395e-08 3.46791e-08
3.17892e-08 3.89336e-08
1.46719e-08 2.93438e-08
2.72478e-08 3.33717e-08
2.54313e-08 3.11469e-08
3.57627e-08 4.76836e-08
2.24394e-08 4.48788e-08
2.11928e-08 4.23856e-08
6.02322e-08 4.91794e-08
1.90735e-08 3.8147e-08
3.63304e-08 4.44955e-08
1.73395e-08 3.46791e-08
4.97569e-08 4.06264e-08
1.58946e-08 3.17892e-08
1.52588e-08 3.05176e-08
2.93438e-08 3.59387e-08
1.41285e-08 2.8257e-08
0 0
1.31541e-08 2.63082e-08
3.8147e-08 3.11469e-08
3.69164e-08 3.01421e-08
0 0
2.31194e-08 4.62388e-08
0 0
2.17982e-08 4.35964e-08
6.35784e-08 5.19115e-08
4.124e-08 5.05085e-08
2.00774e-08 4.01548e-08
3.91251e-08 4.79183e-08
0 0
5.58248e-08 4.55808e-08
5.44957e-08 4.44955e-08
1.77428e-08 3.54856e-08
6.93582e-08 3.46791e-08
1.69542e-08 3.39084e-08
3.31713e-08 4.06264e-08
6.4931e-08 3.24655e-08
4.76837e-08 3.89336e-08
3.11404e-08 3.8139e-08
3.05176e-08 3.73762e-08
2.99192e-08 3.66434e-08
4.40158e-08 3.59387e-08
2.87902e-08 3.52606e-08
4.23855e-08 3.46076e-08
4.16149e-08 3.39784e-08
1.36239e-08 2.72478e-08
2.67698e-08 3.27862e-08
2.63082e-08 3.22209e-08
2.58624e-08 3.16748e-08
0 0
3.75216e-08 3.06363e-08
3.69164e-08 3.01421e-08
1.21102e-08 2.42203e-08
8.34463e-08 4.76836e-08
0 0
6.93582e-08 5.66307e-08
2.27744e-08 4.55488e-08
4.48788e-08 5.49651e-08
4.42284e-08 5.41685e-08
4.35964e-08 5.33945e-08
4.29824e-08 5.26425e-08
2.11928e-08 4.23856e-08
4.18048e-08 5.12002e-08
2.062e-08 4.124e-08
2.0345e-08 4.069e-08
4.01548e-08 4.91794e-08
5.94498e-08 4.85406e-08
0 0
0 0
3.8147e-08 4.67203e-08
3.7676e-08 4.61435e-08
5.58248e-08 4.55808e-08
7.35363e-08 3.67682e-08
1.81652e-08 3.63304e-08
5.38546e-08 4.39721e-08
1.77428e-08 3.54856e-08
1.75388e-08 3.50777e-08
5.20186e-08 4.2473e-08
1.71447e-08 3.42894e-08
3.39084e-08 4.15292e-08
1.67679e-08 3.35358e-08
1.65856e-08 3.31713e-08
3.28146e-08 4.01895e-08
3.24655e-08 3.9762e-08
1.60619e-08 3.21238e-08
1.58946e-08 3.17892e-08
3.14614e-08 3.85322e-08
3.11404e-08 3.8139e-08
3.08258e-08 3.77538e-08
3.05176e-08 3.73762e-08
