-nan -nan
0 0
0 0
5.6514e-08 2.8257e-08
7.15254e-08 5.84002e-08
6.1035e-08 5.45914e-08
4.23855e-08 3.46076e-08
1.77945e-08 3.5589e-08
5.96045e-08 5.33119e-08
6.69796e-08 6.26537e-08
2.44141e-08 2.9901e-08
3.66853e-08 4.49301e-08
4.23855e-08 3.46076e-08
6.6675e-08 5.44399e-08
1.77945e-08 3.5589e-08
8.68056e-08 5.41328e-08
3.57627e-08 4.76836e-08
0 0
5.02347e-08 6.69796e-08
9.96639e-08 5.69508e-08
6.10351e-08 3.86019e-08
6.32694e-08 5.16592e-08
5.50279e-08 4.49301e-08
3.21053e-08 3.93208e-08
8.4771e-08 2.8257e-08
3.75e-08 3.06186e-08
8.89e-08 4.445e-08
3.96916e-08 4.86121e-08
1.77945e-08 3.5589e-08
1.60164e-08 3.20329e-08
4.34028e-08 3.54382e-08
2.62244e-08 3.21182e-08
2.38418e-08 4.76836e-08
8.69576e-08 8.13414e-08
3.97542e-08 4.86888e-08
3.64432e-08 4.46336e-08
3.34898e-08 4.10165e-08
3.08471e-08 3.77799e-08
4.27131e-08 5.69508e-08
7.90218e-08 4.92787e-08
4.88281e-08 4.56744e-08
0 0
2.10898e-08 4.21796e-08
3.93047e-08 4.81383e-08
5.50279e-08 4.49301e-08
5.14403e-08 4.20009e-08
0 0
6.01988e-08 7.37282e-08
7.06425e-08 4.46782e-08
3.98431e-08 3.25318e-08
2.5e-08 3.06186e-08
4.7116e-08 5.77051e-08
6.6675e-08 5.44399e-08
2.09904e-08 4.19808e-08
1.98458e-08 3.96916e-08
7.51315e-08 3.75658e-08
7.1178e-08 6.65809e-08
1.68743e-08 3.37486e-08
1.60164e-08 3.20329e-08
3.04316e-08 3.72709e-08
7.2338e-08 4.57506e-08
5.50707e-08 2.75354e-08
3.93365e-08 3.21182e-08
3.7493e-08 3.06129e-08
2.38418e-08 4.76836e-08
6.82752e-08 5.57465e-08
1.30436e-07 8.13414e-08
6.23412e-08 5.09014e-08
3.97542e-08 4.86888e-08
7.61015e-08 7.11865e-08
3.64432e-08 4.46336e-08
3.49249e-08 4.27741e-08
5.02347e-08 4.10165e-08
4.81984e-08 3.93538e-08
4.62707e-08 3.77799e-08
4.44445e-08 3.62887e-08
0 0
4.10703e-08 5.47604e-08
3.9511e-08 3.22606e-08
2.5353e-08 3.10509e-08
2.44141e-08 2.9901e-08
4.7042e-08 5.76144e-08
4.53416e-08 5.55319e-08
4.37224e-08 5.35488e-08
4.21796e-08 5.16592e-08
8.14168e-08 7.61584e-08
7.86094e-08 3.93047e-08
5.69473e-08 4.64973e-08
3.66853e-08 4.49301e-08
3.54626e-08 4.34326e-08
6.85871e-08 3.42936e-08
6.63507e-08 3.31754e-08
4.81579e-08 3.93208e-08
7.77019e-08 4.91431e-08
4.51491e-08 6.01988e-08
5.83176e-08 5.45511e-08
9.88995e-08 5.6514e-08
2.73921e-08 3.35483e-08
3.98431e-08 3.25318e-08
5.15305e-08 2.57652e-08
6.25e-08 3.95285e-08
