0 0	-nan
100 .00000022252400716	0.00000019073486524
200 .00000022252400716	0.00000200271606374
300 .00000039206610959	0.00000260670979297
400 .00000049273172516	0.00000095367432387
500 .00000036875406901	0.00000381469727444
600 .00000047683715496	0.00000572204590815
700 .00000038146972656	0.00000708443778328
800 .00000034968058381	0.00000810623168608
900 .00000056514033254	0.00000890096027714
1000 .00000052134195494	0.00000953674314999
1100 .00000047394723603	0.00001005692913687
1200 .00000042385525173	0.00001049041745927
1300 .00000044993864389	0.00000974214991607
1400 .00000072660901170	0.00000468662804301
1500 .00000066121421153	0.00000030517575302
1600 .00000063578287760	0.00000352859500072
1700 .00000067318187040	0.00000691133390108
1800 .00000083358199508	0.00000991821292363
1900 .00000117787142498	0.00001260857836485
2000 .00000094095867065	0.00001502990726195
2100 .00000066605824059	0.00001722063340694
2200 .00000065890226741	0.00001921220262967
2300 .00000081822489528	0.00002103059191998
2400 .00000129275849182	0.00002269744876943
2500 .00000046793621114	0.00002423095707093
2600 .00000082162709134	0.00002558781554088
2700 .00000086654851466	0.00002690068000317
2800 .00000119890484916	0.00002811976843244
2900 .00000080678655107	0.00002925478179761
3000 .00000093248155318	0.00003031412760511
3100 .00000103365990637	0.00003130512852181
3200 .00000104904174360	0.00003223419188121
3300 .00000058569089991	0.00003310694837034
3400 .00000113692936385	0.00003392836624247
3500 .00000107538132440	0.00003470284595047
3600 .00000165303546940	0.00003543429900803
3700 .00000087978606420	0.00003612621406248
3800 .00000103063749114	0.00003678171253511
3900 .00000076946028590	0.00003740359570146
4000 .00000134785970052	0.00003799438470949
4100 .00000085598082974	0.00003855635474152
4200 .00000141688759866	0.00003909156429583
4300 .00000079251077245	0.00003960188038250
4400 .00000078605883049	0.00004008900028341
4500 .00000093813293212	0.00004055447041095
4600 .00000072976819871	0.00004099970270685
4700 .00000110382732109	0.00004142598894762
4800 .00000081592130314	0.00004183451326168
4900 .00000128713597732	0.00004222636311394
5000 .00000138346357179	0.00004260253897212
5100 .00000127655234962	0.00004296396283585
5200 .00000080206455328	0.00003861647376263
5300 .00000103644604952	0.00003328143415904
5400 .00000081003451457	0.00002814398861485
5500 .00000142415361159	0.00002319335927227
5600 .00000089009606363	0.00001841953812049
5700 .00000137418330676	0.00001381321946526
5800 .00000203450517193	0.00000936573938435
5900 .00000091380322385	0.00000506902134009
6000 .00000122070308729	0.00000091552723063
6100 .00000206785782939	0.00000310178674409
6200 .00000095162344283	0.00000698950994543
6300 .00000122716175313	0.00001075381336261
6400 .00000114440905942	0.00001440048229799
6500 .00000220665564904	0.00001793494603537
6600 .00000164918225221	0.00002136230481100
6700 .00000192822512719	0.00002468735436946
6800 .00000106213143771	0.00002791460835266
6900 .00000145953638778	0.00003104831874215
7000 .00000191824776785	0.00003409249454908
7100 .00000173362772112	0.00003705091892483
7200 .00000196386257827	0.00003992716484570
7300 .00000210418004423	0.00004272460950846
7400 .00000115471926211	0.00004544644755871
7500 .00000115288633004	0.00004809570326096
7600 .00000044170188010	0.00005067524170789
7700 .00000237799300842	0.00005318777915619
7800 .00000178671295381	0.00005563589256736
7900 .00000150656407712	0.00005802202842382
8000 .00000105539962405	0.00006034851088386
8100 .00000291361234953	0.00006261754933255
8200 .00000106687458657	0.00006483124538004
8300 .00000297822147966	0.00006699159935411
8400 .00000178019196011	0.00006910051632879
8500 .00000247730938090	0.00007115981172759
8600 .00000156136460987	0.00007317121653573
8700 .00000239697452705	0.00007513638215288
8800 .00000197670681473	0.00007705688491509
8900 .00000130299771769	0.00007893423031185
9000 .00000122070312500	0.00008076985692202
9100 .00000176621880723	0.00008256514009021
9200 .00000233304673346	0.00008432139536344
9300 .00000118132565606	0.00008603988170607
9400 .00000253230962272	0.00008772180450948
9500 .00000102796047458	0.00008936831841178
9600 .00000174840296540	0.00009098052994111
9700 .00000153112247637	0.00009255949999560
9800 .00000152587885377	0.00009410624617144
9900 .00000191120196779	0.00009562174494978
10000 .00000212605783682	0.00009710693375256
10100 .00000117840153156	0.00009856271287607
10200 .00000181509783729	0.00009998994731088
10300 .00000138267339119	0.00010133021101572
10400 .00000129112840119	0.00010270338806452
10500 .00000364273317952	0.00010405040936000
10600 .00000168902319182	0.00010537201515935
10700 .00000174929423592	0.00010666891804656
10800 .00000231707548100	0.00010794180421363
10900 .00000160520594419	0.00010919133467122
11000 .00000234892868292	0.00011041814639321
11100 .00000148463893581	0.00011162285339949
11200 .00000203450516258	0.00011280604778066
11300 .00000160239786747	0.00011396830066836
11400 .00000133849026864	0.00011511016315452
11500 .00000187528306159	0.00011623216716266
11600 .00000145572356586	0.00011733482627411
11700 .00000238228385854	0.00011841863651186
11800 .00000355176332350	0.00011948407708456
11900 .00000241063222164	0.00012053161109301
12000 .00000172932942708	0.00012156168620133
12100 .00000139556968560	0.00012257473527479
12200 .00000140080686090	0.00012357117698640
12300 .00000228261558702	0.00012455141639375
12400 .00000213294901741	0.00012551584548808
12500 .00000305989582229	0.00012646484371690
12600 .00000306790465252	0.00012739877848177
12700 .00000291559015671	0.00012831800561255
12800 .00000348091125488	0.00012922286981941
12900 .00000302810079528	0.00013011370512384
13000 .00000275440705128	0.00013099083526973
13100 .00000231405554230	0.00013185457411570
13200 .00000218863433772	0.00013270522600944
13300 .00000273816866384	0.00013354308614539
13400 .00000267218594527	0.00013436844090618
13500 .00000301408182279	0.00013518156818903
13600 .00000200458604875	0.00013598273771772
13700 .00000204935568456	0.00013677221134088
13800 .00000266844527557	0.00013755024331732
13900 .00000193204815197	0.00013831708058907
14000 .00000156947553109	0.00013907296304266
14100 .00000177478122755	0.00013981812375931
14200 .00000237836519753	0.00014055278925460
14300 .00000294505289826	0.00014127717970800
14400 .00000283983013705	0.00014199150918288
14500 .00000196434985632	0.00014269598583741
14600 .00000252222900659	0.00014339081212682
14700 .00000177154189535	0.00014407618499732
14800 .00000116846582911	0.00014475229607228
14900 .00000196623333765	0.00014541933183079
15000 .00000234646261388	0.00014607747377919
15100 .00000141472210339	0.00014672689861569
15200 .00000331945586622	0.00014736777838855
15300 .00000271267354661	0.00014800028064804
15400 .00000377836681547	0.00014862456859247
15500 .00000240202866226	0.00014924080120859
15600 .00000189104650774	0.00014984913340655
15700 .00000263060227574	0.00015044971614976
15800 .00000160957704942	0.00015104269657977
15900 .00000069096410652	0.00015162821813644
16000 .00000172932942708	0.00015220642067366
16100 .00000168067813922	0.00015277744057066
16200 .00000256196959936	0.00015334141083930
16300 .00000169750119898	0.00015389846122734
16400 .00000271680886480	0.00015444871831797
16500 .00000241674549895	0.00015499230562569
16600 .00000202224923604	0.00015552934368873
16700 .00000246089843096	0.00015605995015820
16800 .00000240991994567	0.00015658423988399
16900 .00000325039293639	0.00015710232499764
