0 0	-nan
100 .00000022252400781	0.00000019073486524
200 .00000034968058244	0.00000200271606374
300 .00000020133124631	0.00000260670979297
400 .00000052452087651	0.00000095367432387
500 .00000058492024739	0.00000381469727444
600 .00000051922268661	0.00000572204590815
700 .00000039963495163	0.00000708443778328
800 .00000050862630433	0.00000810623168608
900 .00000028257016161	0.00000890096027714
1000 .00000020345053490	0.00000953674314999
1100 .00000028899220512	0.00001005692913687
1200 .00000044504801432	0.00001049041745927
1300 .00000068468926074	0.00000974214991607
1400 .00000103541782924	0.00000468662804301
1500 .00000084771049406	0.00000030517575302
1600 .00000117619832356	0.00000352859500072
1700 .00000073302024835	0.00000691133390108
1800 .00000076293946412	0.00000991821292363
1900 .00000103063751827	0.00001260857836485
2000 .00000083923338664	0.00001502990726195
2100 .00000100514244198	0.00001722063340694
2200 .00000149119984019	0.00001921220262967
2300 .00000116099483270	0.00002103059191998
2400 .00000108083090491	0.00002269744876943
2500 .00000089518230489	0.00002423095707093
2600 .00000103681515424	0.00002558781554088
2700 .00000039559822618	0.00002690068000317
2800 .00000076293945887	0.00002811976843244
2900 .00000103479143923	0.00002925478179761
3000 .00000054253472190	0.00003031412760511
3100 .00000103365989995	0.00003130512852181
3200 .00000082651774088	0.00003223419188121
3300 .00000101725259756	0.00003310694837034
3400 .00000125660615808	0.00003392836624247
3500 .00000082833426339	0.00003470284595047
3600 .00000056514034801	0.00003543429900803
3700 .00000067358616975	0.00003612621406248
3800 .00000127156575521	0.00003678171253511
3900 .00000069121010283	0.00003740359570146
4000 .00000076293945312	0.00003799438470949
4100 .00000089319738843	0.00003855635474152
4200 .00000111413378313	0.00003909156429583
4300 .00000078068220841	0.00003960188038250
4400 .00000110973011363	0.00004008900028341
4500 .00000105116107441	0.00004055447041095
4600 .00000123839450079	0.00004099970270685
4700 .00000099560893173	0.00004142598894762
4800 .00000097486710721	0.00004183451326168
4900 .00000102763270358	0.00004222636311394
5000 .00000134277343750	0.00004260253897212
5100 .00000187493614136	0.00004296396283585
5200 .00000101725266785	0.00003861647376263
5300 .00000076773781446	0.00003328143415904
5400 .00000141285087259	0.00002814398861485
5500 .00000288529829545	0.00002319335927227
5600 .00000070844377790	0.00001841953812049
5700 .00000128495062219	0.00001381321946526
5800 .00000131541281382	0.00000936573938435
5900 .00000089656158017	0.00000506902134009
6000 .00000152587890624	0.00000091552723063
6100 .00000153421708068	0.00000310178674409
6200 .00000083677234236	0.00000698950994543
6300 .00000146936483316	0.00001075381336261
6400 .00000195503242880	0.00001440048229799
6500 .00000164325424736	0.00001793494603537
6600 .00000117138182778	0.00002136230481100
6700 .00000214078541452	0.00002468735436946
6800 .00000133140427024	0.00002791460835266
6900 .00000169542100694	0.00003104831874215
7000 .00000187465118453	0.00003409249454908
7100 .00000136111259577	0.00003705091892483
7200 .00000210514779434	0.00003992716484570
