0 0	-nan
100 .00000001589457389	0.00000000000000195
200 .00000001589457241	0.00000000000000071
300 .00000003178914388	0.00000000000000521
400 .00000001589457691	0.00000000000000746
500 .00000001271566342	0.00000000000000881
600 .00000003178914388	0.00000000000000971
700 .00000001816522791	0.00000000000000426
800 .00000001589457532	0.00000000000000338
900 .00000000000000932	0.00000000000000932
1000 .00000002543132917	0.00000000000001407
1100 .00000001155970664	0.00000000000001796
1200 .00000001059640249	0.00000000000002120
1300 .00000000000002383	0.00000000000002383
1400 .00000000000002619	0.00000000000002619
1500 .00000001695423830	0.00000000000002823
1600 .00000000000003002	0.00000000000003002
1700 .00000000000003160	0.00000000000003160
1800 .00000000000003300	0.00000000000003300
1900 .00000004015474231	0.00000000000003426
2000 .00000000000003539	0.00000000000003539
2100 .00000002422033650	0.00000000000003641
2200 .00000001155972602	0.00000000000003734
2300 .00000002211422523	0.00000000000003818
2400 .00000000000003896	0.00000000000003896
2500 .00000003051761780	0.00000000000003968
2600 .00000001956258615	0.00000000000003607
2700 .00000001883803750	0.00000000000002632
2800 .00000000000001726	0.00000000000001726
2900 .00000001753884682	0.00000000000000882
3000 .00000001695421101	0.00000000000000095
3100 .00000000000000642	0.00000000000000642
3200 .00000000000001332	0.00000000000001332
3300 .00000000000001981	0.00000000000001981
3400 .00000001495961439	0.00000000000002591
3500 .00000000000003167	0.00000000000003167
3600 .00000001412853313	0.00000000000003711
3700 .00000000000004225	0.00000000000004225
3800 .00000001338493410	0.00000000000004712
3900 .00000000000005174	0.00000000000005174
4000 .00000001271569497	0.00000000000005613
4100 .00000003721655869	0.00000000000006031
4200 .00000003633045015	0.00000000000006429
4300 .00000003548555596	0.00000000000006808
4400 .00000001155973648	0.00000000000007170
4500 .00000001130285682	0.00000000000007516
4600 .00000000000007847	0.00000000000007847
4700 .00000000000008164	0.00000000000008164
4800 .00000001059643774	0.00000000000008467
4900 .00000001038018700	0.00000000000008759
5000 .00000001017258629	0.00000000000009038
5100 .00000002991919424	0.00000000000009307
5200 .00000001956261377	0.00000000000009554
5300 .00000001919351071	0.00000000000009803
5400 .00000000000010042	0.00000000000010042
5500 .00000001849557038	0.00000000000010273
5600 .00000003633048513	0.00000000000010496
5700 .00000001784660831	0.00000000000010710
5800 .00000000000010918	0.00000000000010918
5900 .00000001724164368	0.00000000000011118
6000 .00000001695428548	0.00000000000011312
6100 .00000000000011499	0.00000000000011499
6200 .00000001640737793	0.00000000000011680
6300 .00000003229377298	0.00000000000011856
6400 .00000001589465211	0.00000000000012026
6500 .00000001565012133	0.00000000000012191
6600 .00000000000012351	0.00000000000012351
6700 .00000001518295806	0.00000000000012506
6800 .00000000000012656	0.00000000000012656
6900 .00000002948562540	0.00000000000012802
7000 .00000005812867709	0.00000000000012944
7100 .00000001432758868	0.00000000000013082
7200 .00000001412859649	0.00000000000013216
7300 .00000000000013347	0.00000000000013347
7400 .00000001374674663	0.00000000000013473
7500 .00000001356345870	0.00000000000013597
7600 .00000002676985109	0.00000000000013717
7700 .00000003963321834	0.00000000000013834
7800 .00000000000013949	0.00000000000013949
7900 .00000003862984573	0.00000000000014060
8000 .00000002543136233	0.00000000000014168
8100 .00000002511739583	0.00000000000014274
8200 .00000000000014377	0.00000000000014377
8300 .00000001225615199	0.00000000000014478
8400 .00000001211024722	0.00000000000014576
8500 .00000000000014672	0.00000000000014672
8600 .00000000000014766	0.00000000000014766
8700 .00000000000014858	0.00000000000014858
8800 .00000002311942719	0.00000000000014947
8900 .00000001142990477	0.00000000000015035
9000 .00000002260566382	0.00000000000015120
9100 .00000001117870140	0.00000000000015204
9200 .00000001105719543	0.00000000000015286
9300 .00000002187645131	0.00000000000015366
9400 .00000003246550864	0.00000000000015444
9500 .00000001070802562	0.00000000000015521
9600 .00000002119281457	0.00000000000015596
9700 .00000001048724471	0.00000000000015670
9800 .00000002076030970	0.00000000000015742
9900 .00000001027538425	0.00000000000015813
10000 .00000002034510502	0.00000000000015882
10100 .00000001007191429	0.00000000000015950
10200 .00000000997317152	0.00000000000016016
10300 .00000000000015408	0.00000000000015408
10400 .00000000000014386	0.00000000000014386
10500 .00000003875252477	0.00000000000013383
10600 .00000000000012398	0.00000000000012398
10700 .00000001901414358	0.00000000000011432
10800 .00000001883808108	0.00000000000010484
10900 .00000000000009554	0.00000000000009554
11000 .00000000000008640	0.00000000000008640
11100 .00000000000007743	0.00000000000007743
11200 .00000000000006862	0.00000000000006862
11300 .00000000000005996	0.00000000000005996
11400 .00000001784657122	0.00000000000005146
11500 .00000001769137837	0.00000000000004310
11600 .00000001753886126	0.00000000000003489
11700 .00000005216680021	0.00000000000002682
11800 .00000000000001888	0.00000000000001888
11900 .00000000000001108	0.00000000000001108
12000 .00000000000000341	0.00000000000000341
12100 .00000003362818939	0.00000000000000413
12200 .00000000000001156	0.00000000000001156
12300 .00000003308140436	0.00000000000001886
12400 .00000003281462617	0.00000000000002604
12500 .00000000000003311	0.00000000000003311
12600 .00000001614690679	0.00000000000004006
12700 .00000004805922506	0.00000000000004691
12800 .00000000000005365	0.00000000000005365
12900 .00000000000006028	0.00000000000006028
13000 .00000000000006681	0.00000000000006681
13100 .00000003106122146	0.00000000000007325
13200 .00000000000007958	0.00000000000007958
13300 .00000001529711746	0.00000000000008582
13400 .00000003036584134	0.00000000000009197
13500 .00000001507050697	0.00000000000009802
13600 .00000004487889535	0.00000000000010399
13700 .00000001485051285	0.00000000000010987
13800 .00000001474290702	0.00000000000011566
13900 .00000000000012138	0.00000000000012138
