0 0	-nan
100 .00000004768371712	0.00000000000000195
200 .00000004768371629	0.00000000000000071
300 .00000009536742816	0.00000006357829297
400 .00000009536743164	0.00000000000000746
500 .00000008900960286	0.00000015258788181
600 .00000008477105034	0.00000006357829747
700 .00000014532180201	0.00000010899135471
800 .00000007947285970	0.00000000000000338
900 .00000011302807334	0.00000008477105966
1000 .00000016530355286	0.00000015258790469
1100 .00000008091783275	0.00000006935815006
1200 .00000009536744577	0.00000006357826656
1300 .00000015650038475	0.00000000000002383
1400 .00000012715659298	0.00000010899132426
1500 .00000013563368996	0.00000020345054907
1600 .00000011126201358	0.00000000000003002
1700 .00000010471721144	0.00000000000003160
1800 .00000007064255295	0.00000008477108335
1900 .00000008030943895	0.00000000000003426
2000 .00000006357831135	0.00000015258792601
2100 .00000010899136258	0.00000000000003641
2200 .00000003467909094	0.00000006935816944
2300 .00000005528550580	0.00000000000003818
2400 .00000013775295681	0.00000006357824880
2500 .00000010172527364	0.00000000000003968
2600 .00000011737531250	0.00000000000003607
2700 .00000013186608709	0.00000011302804081
2800 .00000019981748157	0.00000010899133319
2900 .00000008769419883	0.00000000000000882
3000 .00000018649631107	0.00000020345052178
3100 .00000006562920241	0.00000009844379399
3200 .00000007947286414	0.00000000000001332
3300 .00000006165167298	0.00000009247752928
3400 .00000005983838848	0.00000000000002591
3500 .00000007266093196	0.00000008719304869
3600 .00000008477105034	0.00000008477101324
3700 .00000010997324042	0.00000000000004225
3800 .00000006692449772	0.00000000000004712
3900 .00000009129191762	0.00000007825014858
4000 .00000003814702879	0.00000015258783449
4100 .00000008683863694	0.00000000000006031
4200 .00000010899135044	0.00000000000006429
4300 .00000004731414269	0.00000007097104384
4400 .00000006935815600	0.00000006935806040
4500 .00000012433084879	0.00000000000007516
4600 .00000006634256114	0.00000000000007847
4700 .00000007575290792	0.00000006493109892
4800 .00000005298193469	0.00000006357837243
4900 .00000002076031562	0.00000006228085927
5000 .00000010172526041	0.00000000000009038
5100 .00000012964977966	0.00000005983848155
5200 .00000011737533232	0.00000000000009554
5300 .00000019193448629	0.00000000000009803
5400 .00000016954203374	0.00000011302816755
5500 .00000018495505318	0.00000000000010273
5600 .00000009082619534	0.00000010899145540
5700 .00000012492582981	0.00000000000010710
5800 .00000024554369564	0.00000000000010918
5900 .00000012069106105	0.00000000000011118
6000 .00000013563364284	0.00000020345040771
6100 .00000011673394372	0.00000000000011499
6200 .00000008203650033	0.00000009844368360
6300 .00000017761553406	0.00000000000011856
6400 .00000014305118754	0.00000000000012026
6500 .00000012520032051	0.00000000000012191
6600 .00000007706463239	0.00000009247763297
6700 .00000012146303919	0.00000000000012506
6800 .00000013463645845	0.00000000000012656
6900 .00000013268516495	0.00000017691336836
7000 .00000017438620386	0.00000008719295092
7100 .00000007163755094	0.00000000000013082
7200 .00000007064263006	0.00000008477091819
7300 .00000013934976078	0.00000000000013347
7400 .00000010997329941	0.00000000000013473
7500 .00000016276032601	0.00000000000013597
7600 .00000017400373492	0.00000000000013717
7700 .00000003963326445	0.00000015853273503
7800 .00000010433355393	0.00000007825006084
7900 .00000010301296880	0.00000000000014060
8000 .00000013987228029	0.00000015258774894
8100 .00000012558678883	0.00000015070394677
8200 .00000008683868486	0.00000000000014377
8300 .00000011030449924	0.00000000000014478
8400 .00000012110145190	0.00000000000014576
8500 .00000009574137266	0.00000014361198563
8600 .00000016559921192	0.00000007097096426
8700 .00000005846279334	0.00000000000014858
8800 .00000002311947701	0.00000006935798263
8900 .00000004571926828	0.00000000000015035
9000 .00000010172526041	0.00000000000015120
9100 .00000010060740041	0.00000000000015204
9200 .00000011057098618	0.00000000000015286
9300 .00000012032020049	0.00000000000015366
9400 .00000007575290498	0.00000006493117173
9500 .00000007495545504	0.00000012849522100
9600 .00000006357828776	0.00000006357844372
9700 .00000006292284149	0.00000012584583969
9800 .00000007266090029	0.00000006228092911
9900 .00000006165172569	0.00000000000015813
10000 .00000009155278731	0.00000000000015882
10100 .00000006043095410	0.00000012086153605
10200 .00000007978451797	0.00000005983854865
10300 .00000009876238875	0.00000011851502059
10400 .00000009781270244	0.00000000000014386
10500 .00000009688133422	0.00000000000013383
10600 .00000009596726813	0.00000000000012398
10700 .00000009507041305	0.00000011408451853
10800 .00000013186604337	0.00000011302817197
10900 .00000020531707121	0.00000000000009554
11000 .00000011097309776	0.00000000000008640
11100 .00000014663098019	0.00000010997333193
11200 .00000010899141906	0.00000010899141906
11300 .00000014403576696	0.00000010802676526
11400 .00000014277227816	0.00000000000005146
11500 .00000017691349637	0.00000010614805472
11600 .00000010523302801	0.00000000000003489
11700 .00000019127825851	0.00000000000002682
11800 .00000010344941737	0.00000000000001888
11900 .00000020516018538	0.00000010258008346
12000 .00000008477105262	0.00000020345051742
12100 .00000018495502169	0.00000010088455992
12200 .00000013341017374	0.00000000000001156
12300 .00000011578484925	0.00000009924417536
12400 .00000016407300935	0.00000009844382644
12500 .00000009765628311	0.00000009765628311
12600 .00000017761554741	0.00000000000004006
12700 .00000008009864588	0.00000009611830939
12800 .00000009536746740	0.00000000000005365
12900 .00000018925631854	0.00000009462820951
13000 .00000018780043622	0.00000000000006681
13100 .00000026401973544	0.00000009318351790
13200 .00000015412918245	0.00000009247742989
13300 .00000022945550323	0.00000000000008582
13400 .00000018219458823	0.00000000000009197
13500 .00000010549286265	0.00000009042235568
13600 .00000014959607519	0.00000000000010399
13700 .00000014850406642	0.00000008910252775
13800 .00000008845682529	0.00000017691361204
13900 .00000019027750598	0.00000008782049008
14000 .00000007266094263	0.00000008719320736
14100 .00000007214566313	0.00000008657482227
14200 .00000010029264829	0.00000000000013803
14300 .00000008536385489	0.00000008536399832
14400 .00000012715667468	0.00000008477119909
14500 .00000014031075535	0.00000008418657640
14600 .00000004180506070	0.00000000000015916
14700 .00000011072148139	0.00000008304119318
14800 .00000009622671056	0.00000000000016930
14900 .00000008192650041	0.00000000000017427
15000 .00000010850700416	0.00000000000017917
15100 .00000012126189983	0.00000008084145056
15200 .00000014723386662	0.00000000000018878
15300 .00000007978451797	0.00000000000019349
15400 .00000014532180059	0.00000015853307152
15500 .00000013125853568	0.00000007875524305
15600 .00000005216680021	0.00000007825040758
15700 .00000005183466875	0.00000007775200313
15800 .00000010301306603	0.00000000000021615
15900 .00000008956948519	0.00000007677400196
16000 .00000008900967780	0.00000015258811544
16100 .00000011373002845	0.00000022746043870
16200 .00000013814557089	0.00000015070432277
16300 .00000006240829350	0.00000007488999969
16400 .00000008683855643	0.00000000000024152
16500 .00000007398217128	0.00000000000024556
16600 .00000007353641601	0.00000000000024956
16700 .00000008527883043	0.00000007309574199
16800 .00000016954227231	0.00000000000025742
16900 .00000004815414361	0.00000007223121542
17000 .00000008377383223	0.00000014361239744
17100 .00000013087469366	0.00000007138641652
17200 .00000009462814922	0.00000007097138450
17300 .00000012936169493	0.00000000000027627
17400 .00000010523330792	0.00000000000027990
17500 .00000005812900374	0.00000006975474779
17600 .00000006935822778	0.00000006935841916
17700 .00000011494399079	0.00000006896656882
17800 .00000006857902328	0.00000000000029405
17900 .00000006819590363	0.00000006819600280
18000 .00000011302826772	0.00000000000030089
18100 .00000015736504373	0.00000000000030425
18200 .00000017885780578	0.00000000000030758
18300 .00000012229276642	0.00000006670477793
18400 .00000011057093523	0.00000000000031412
18500 .00000006598395270	0.00000000000031734
18600 .00000013125850737	0.00000000000032052
18700 .00000010879696207	0.00000006527791831
18800 .00000007575274457	0.00000006493069050
18900 .00000015070408950	0.00000006458713706
19000 .00000006424764386	0.00000012849473287
19100 .00000006391115837	0.00000006391082244
19200 .00000010596403888	0.00000006357794883
19300 .00000010541489160	0.00000006324852470
19400 .00000008389746680	0.00000012584533818
19500 .00000006260016025	0.00000006260050796
