0 0	-nan
5 .00000005483627319	0.00000000000000000
10 .00000006079673769	0.00000011920928966
15 .00000007470448818	0.00000015894571925
20 .00000008344650280	0.00000011920928933
25 .00000010871887218	0.00000009536743200
30 .00000009059906016	0.00000023841857955
35 .00000012534005307	0.00000034059797065
40 .00000011444091807	0.00000041723251387
45 .00000014623006184	0.00000042385525174
50 .00000016403198246	0.00000047683715785
55 .00000014391812421	0.00000052018599012
60 .00000016212463393	0.00000055631001702
65 .00000014525193460	0.00000058687650131
70 .00000018528529596	0.00000061307634499
75 .00000020726521826	0.00000063578287618
80 .00000013589859002	0.00000065565109097
85 .00000019297880338	0.00000044878791193
90 .00000018649631090	0.00000021192762409
95 .00000022285863017	0.00000000000000187
100 .00000022506713922	0.00000019073486524
105 .00000022888183601	0.00000036330450352
110 .00000017686323761	0.00000052018599287
115 .00000022058901614	0.00000066342561358
120 .00000022729237909	0.00000079472859923
125 .00000020446777416	0.00000091552734602
130 .00000026262723445	0.00000102703388153
135 .00000019921196926	0.00000113028067366
140 .00000019209725506	0.00000122615269493
145 .00000023940513971	0.00000131541285267
150 .00000021107991516	0.00000139872233322
155 .00000020427088644	0.00000147665700857
160 .00000027537345957	0.00000154972076671
165 .00000023581764880	0.00000161835641787
170 .00000025805305078	0.00000168295467768
175 .00000027247837650	0.00000174386160836
180 .00000026279025632	0.00000180138482067
185 .00000029486578854	0.00000185579867015
190 .00000024895918996	0.00000190734863281
195 .00000032669458639	0.00000195625500765
200 .00000029373168956	0.00000200271606374
205 .00000031261909327	0.00000204691072686
210 .00000030517578108	0.00000208900088220
215 .00000032291855896	0.00000212913335591
220 .00000034852461389	0.00000216744162626
225 .00000035942925364	0.00000220404730682
230 .00000034000562565	0.00000223906143605
235 .00000033277146348	0.00000227258560233
240 .00000034173329671	0.00000230471292835
245 .00000024133799091	0.00000233552893495
250 .00000040740966742	0.00000236511230128
255 .00000034257477448	0.00000239353553559
260 .00000027729914815	0.00000242086556859
265 .00000034980054026	0.00000244716427959
270 .00000030658863242	0.00000247248896425
275 .00000028991699113	0.00000249689275129
280 .00000037465776789	0.00000252042497451
285 .00000027439050545	0.00000254313150568
290 .00000035516146994	0.00000256505505302
295 .00000032069319486	0.00000258623542926
300 .00000034459432007	0.00000260670979297
305 .00000027515849214	0.00000262651286606
310 .00000031255906694	0.00000264567713034
315 .00000031244187195	0.00000266423300527
320 .00000032901763939	0.00000262260436434
325 .00000035916842065	0.00000234750600371
