0 0	-nan
5 .00000004768371582	0.00000000000000000
10 .00000006437301640	0.00000011920928966
15 .00000006675720221	0.00000015894571925
20 .00000008225440982	0.00000011920928933
25 .00000008583068850	0.00000009536743200
30 .00000011126200361	0.00000023841857955
35 .00000012806483683	0.00000034059797065
40 .00000011324882516	0.00000041723251387
45 .00000014411078558	0.00000042385525174
50 .00000015449523927	0.00000047683715785
55 .00000014911998399	0.00000052018599012
60 .00000017960866299	0.00000055631001702
65 .00000015845665573	0.00000058687650131
70 .00000014305114786	0.00000061307634499
75 .00000019836425849	0.00000063578287618
80 .00000015258789062	0.00000065565109097
85 .00000020644244085	0.00000044878791193
90 .00000020768907384	0.00000021192762409
95 .00000018069618656	0.00000000000000187
100 .00000021171569855	0.00000019073486524
105 .00000022888183634	0.00000036330450352
110 .00000021674416332	0.00000052018599287
115 .00000021727188860	0.00000066342561358
120 .00000025749206578	0.00000079472859923
125 .00000024108886773	0.00000091552734602
130 .00000022301307156	0.00000102703388153
135 .00000024866174806	0.00000113028067366
140 .00000024659293067	0.00000122615269493
145 .00000024335137689	0.00000131541285267
150 .00000021489461292	0.00000139872233322
155 .00000019934869561	0.00000147665700857
160 .00000023961067220	0.00000154972076671
165 .00000027974446657	0.00000161835641787
170 .00000029844396301	0.00000168295467768
175 .00000027029854910	0.00000174386160836
180 .00000030941433373	0.00000180138482067
185 .00000027218380489	0.00000185579867015
190 .00000031922992907	0.00000190734863281
195 .00000025626940606	0.00000195625500765
200 .00000037574768063	0.00000200271606374
205 .00000033494902828	0.00000204691072686
210 .00000029972621410	0.00000208900088220
215 .00000030695005911	0.00000212913335591
220 .00000030690973455	0.00000216744162626
225 .00000034586588532	0.00000220404730682
230 .00000036820121453	0.00000223906143605
235 .00000031653870938	0.00000227258560233
240 .00000040213267020	0.00000230471292835
245 .00000031918895487	0.00000233552893495
250 .00000039215087890	0.00000236511230128
255 .00000032761517707	0.00000239353553559
260 .00000027729914738	0.00000242086556859
265 .00000029941774715	0.00000244716427959
270 .00000033484564937	0.00000247248896425
275 .00000029546564293	0.00000249689275129
280 .00000035013471422	0.00000252042497451
285 .00000034399199904	0.00000254313150568
