0 0	-nan
5 .00000003337860107	0.00000000000000000
10 .00000004053115851	0.00000000000000011
15 .00000003814697273	0.00000000000000015
20 .00000005602836617	0.00000000000000022
25 .00000004386901870	0.00000000000000036
30 .00000003814697286	0.00000000000000044
35 .00000004768371598	0.00000000000000051
40 .00000005245208761	0.00000000000000044
45 .00000004450480143	0.00000000000000000
50 .00000005912780783	0.00000000000000036
55 .00000005201859954	0.00000000000000065
60 .00000005880991678	0.00000000000000089
65 .00000005575326829	0.00000000000000109
70 .00000005585806812	0.00000000000000127
75 .00000006357828855	0.00000000000000142
80 .00000005364418116	0.00000000000000155
85 .00000005609849026	0.00000000000000167
90 .00000006357828861	0.00000000000000178
95 .00000005019338597	0.00000000000000187
100 .00000005149841441	0.00000000000000195
105 .00000004722958649	0.00000000000000203
110 .00000005722046032	0.00000000000000210
115 .00000005639117783	0.00000000000000216
120 .00000005722046022	0.00000000000000222
125 .00000005035400545	0.00000000000000227
130 .00000005868765163	0.00000000000000232
135 .00000006499113964	0.00000000000000237
140 .00000008038112230	0.00000000000000241
145 .00000005656275402	0.00000000000000245
150 .00000006866455177	0.00000000000000249
155 .00000007260230390	0.00000000000000252
160 .00000007033348216	0.00000000000000255
165 .00000006242232026	0.00000000000000215
170 .00000007180606731	0.00000000000000167
175 .00000005231584889	0.00000000000000122
180 .00000005933973558	0.00000000000000079
185 .00000007216994844	0.00000000000000038
190 .00000005420885588	0.00000000000000000
195 .00000006651267034	0.00000000000000036
200 .00000006484985354	0.00000000000000071
205 .00000006698980597	0.00000000000000104
210 .00000006721133310	0.00000000000000135
215 .00000006209972339	0.00000000000000165
220 .00000005722045976	0.00000000000000194
225 .00000006951226172	0.00000000000000221
230 .00000006634256193	0.00000000000000247
235 .00000004220516276	0.00000000000000272
240 .00000003973643067	0.00000000000000296
245 .00000005760971533	0.00000000000000319
250 .00000004730224786	0.00000000000000341
255 .00000005684646963	0.00000000000000362
260 .00000007042518136	0.00000000000000383
265 .00000006333836953	0.00000000000000402
270 .00000006640399028	0.00000000000000421
275 .00000006935813333	0.00000000000000439
280 .00000006675720269	0.00000000000000457
285 .00000006424753441	0.00000000000000474
290 .00000005919357884	0.00000000000000490
295 .00000006982835693	0.00000000000000506
300 .00000007375081421	0.00000000000000521
305 .00000006878962368	0.00000000000000536
310 .00000006768011409	0.00000000000000550
315 .00000005691770658	0.00000000000000564
320 .00000006675720422	0.00000000000000577
325 .00000007042518194	0.00000000000000590
330 .00000006473425928	0.00000000000000603
335 .00000007287779973	0.00000000000000615
340 .00000004487879487	0.00000000000000627
345 .00000007297681929	0.00000000000000638
350 .00000006321498611	0.00000000000000650
355 .00000005372813209	0.00000000000000661
360 .00000006569756589	0.00000000000000671
365 .00000005016588430	0.00000000000000681
370 .00000007010795112	0.00000000000000691
375 .00000006306966370	0.00000000000000701
380 .00000005621659298	0.00000000000000711
385 .00000005746817034	0.00000000000000720
390 .00000006651267347	0.00000000000000729
395 .00000005987626205	0.00000000000000738
400 .00000006103515833	0.00000000000000746
