0 0	-nan
5 .00000004291534423	0.00000000000000000
10 .00000005602836613	0.00000000000000011
15 .00000005245208743	0.00000007947285955
20 .00000006794929514	0.00000000000000022
25 .00000008392333979	0.00000000000000036
30 .00000006516774513	0.00000007947285926
35 .00000007220676971	0.00000000000000051
40 .00000008583068865	0.00000000000000044
45 .00000008477105034	0.00000000000000000
50 .00000008010864269	0.00000000000000036
55 .00000008322975878	0.00000008669766577
60 .00000005722045930	0.00000007947286059
65 .00000007629394587	0.00000000000000109
70 .00000005994524315	0.00000000000000127
75 .00000006357828815	0.00000006357828634
80 .00000008940696716	0.00000000000000155
85 .00000009424546252	0.00000000000000167
90 .00000008689032724	0.00000000000000178
95 .00000007428621073	0.00000000000000187
100 .00000008773803781	0.00000000000000195
105 .00000007084437835	0.00000000000000203
110 .00000007802789937	0.00000008669766723
115 .00000007131825452	0.00000000000000216
120 .00000006357828918	0.00000007947286192
125 .00000008087158284	0.00000015258789290
130 .00000008362990252	0.00000000000000232
135 .00000007205539345	0.00000000000000237
140 .00000007765633825	0.00000000000000241
145 .00000007366312078	0.00000000000000245
150 .00000007120768358	0.00000006357828527
155 .00000008244668334	0.00000000000000252
160 .00000008463859588	0.00000000000000255
165 .00000008322975989	0.00000000000000215
170 .00000008975758318	0.00000000000000167
175 .00000008937290760	0.00000010899134923
180 .00000009112887953	0.00000000000000079
185 .00000009691393071	0.00000010309992648
190 .00000010640997635	0.00000000000000000
195 .00000011541904556	0.00000009781275004
200 .00000009536743169	0.00000000000000071
205 .00000008745891304	0.00000000000000104
210 .00000009990873790	0.00000000000000135
215 .00000010113383468	0.00000008871388825
220 .00000010403719862	0.00000008669766319
225 .00000008138020939	0.00000008477104814
230 .00000009453814982	0.00000000000000247
235 .00000009090342420	0.00000008116376889
240 .00000006675720274	0.00000007947285674
245 .00000009186413886	0.00000007785096141
250 .00000007324218763	0.00000015258788721
255 .00000009424546272	0.00000007479798198
260 .00000007335956371	0.00000000000000383
265 .00000007485443787	0.00000007197541608
270 .00000007205539397	0.00000000000000421
275 .00000008461692098	0.00000006935812771
280 .00000007901872852	0.00000000000000457
285 .00000007763243577	0.00000000000000474
290 .00000007103229528	0.00000000000000490
295 .00000007888018175	0.00000006465589092
300 .00000005722046065	0.00000006357829297
305 .00000006128530119	0.00000000000000536
310 .00000006644956615	0.00000000000000550
315 .00000008840409581	0.00000006055074461
320 .00000009298324746	0.00000000000000577
325 .00000010798527856	0.00000000000000590
330 .00000009710138590	0.00000000000000603
335 .00000012981357982	0.00000000000000615
340 .00000009424546336	0.00000000000000627
345 .00000014816505551	0.00000000000000638
350 .00000008065360218	0.00000010899135694
